Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
FEQZX,12.72,17.11,,,,,,0.00,0.00,0.00,,,0.50,2.75
FGSIX,10.74,17.19,3.82,12.30,12.20,-4.53,24.15,124.26,111.13,0.00,0.02,21.28,0.85,12.42
FIDI,4.78,9.67,5.88,5.71,,-0.62,21.22,100.85,100.21,4.40,0.16,16.58,0.18,7.38
FIJYX,18.35,29.47,6.81,12.74,9.90,4.02,24.25,65.75,54.16,0.00,0.15,23.37,0.58,6.88
FIKAX,14.90,11.90,30.81,14.94,3.02,0.33,38.67,63.42,100.72,0.00,0.95,29.00,0.58,5.42
FIKCX,6.38,7.02,-0.49,8.33,9.46,-0.92,19.51,69.87,97.41,0.00,-0.22,17.41,0.56,16.65
FRIRX,5.61,9.86,0.73,3.93,5.40,-5.09,15.93,66.61,73.88,5.48,-0.27,9.59,0.70,6.25
FTGC,4.32,-2.27,6.24,9.38,-0.85,3.39,16.60,91.72,74.30,2.36,0.19,15.39,0.98,11.61
FZAEX,10.15,7.72,-2.25,6.02,5.43,-0.33,21.09,87.76,93.66,0.00,-0.31,18.17,0.81,6.27
GACIX,11.79,16.98,8.57,12.66,9.63,-3.47,23.02,101.87,127.17,0.00,0.28,18.61,1.12,33.63
GLIFX,6.43,8.98,7.72,7.21,9.04,-1.37,15.95,69.77,67.50,0.00,0.33,13.45,0.97,15.42
GSINX,17.17,25.83,8.18,12.26,,6.91,16.83,91.11,82.54,0.00,0.32,15.40,0.88,8.46
GSMTX,2.39,5.89,-0.19,1.72,3.01,0.54,6.99,91.94,81.36,4.06,-0.56,6.27,0.40,23.27
GSRTX,5.60,7.75,3.51,4.36,3.86,-1.29,7.25,41.85,38.96,0.00,0.04,6.16,0.85,7.88
HLGEX,4.57,8.87,-1.61,10.30,11.35,-5.35,23.26,102.02,117.24,0.00,-0.24,20.40,0.84,9.42
HYD,3.74,6.26,-2.71,-0.04,2.80,-0.63,13.24,103.23,118.05,4.57,-0.69,8.36,0.32,2.50
IHDG,10.03,14.79,6.26,11.21,9.77,6.07,16.02,81.44,76.76,2.14,0.20,13.89,0.58,4.60
IJH,12.30,14.53,6.04,11.05,10.10,-5.36,23.40,98.15,128.80,1.59,0.15,18.53,0.05,12.84
ISHYX,4.94,7.28,0.07,1.41,,0.05,6.52,70.54,56.49,4.55,-0.65,4.94,0.64,9.67
ITM,-0.06,3.09,-1.80,0.53,2.21,-0.49,8.31,99.57,100.59,3.51,-0.71,7.08,0.18,2.50
IVVIX,11.92,15.33,4.41,8.07,9.10,-7.72,23.00,97.14,127.66,0.00,0.06,18.42,0.89,3.54
IWB,15.80,21.37,8.38,14.43,12.71,-0.77,19.23,100.64,102.52,1.19,0.31,16.50,0.15,12.84
IWD,11.96,14.62,6.82,9.78,8.80,-4.57,19.27,84.42,105.04,1.93,0.24,14.89,0.19,12.84
IWF,18.52,26.84,9.30,18.20,16.11,2.07,21.74,114.78,100.51,0.48,0.29,20.38,0.19,12.84
IWM,11.95,14.11,1.73,8.79,8.68,-8.08,25.90,98.88,144.28,1.40,-0.07,21.25,0.19,12.84
IWN,11.01,15.37,4.37,9.30,7.96,-7.61,26.65,91.07,146.80,2.27,0.05,20.84,0.24,12.84
IWO,12.91,12.71,-1.18,7.57,8.93,-9.36,26.87,106.14,141.47,0.50,-0.20,22.81,0.24,12.84
IWP,6.49,12.11,-0.41,-4.89,3.00,-6.96,23.78,113.40,112.81,0.41,-0.17,21.20,0.23,12.84
IWR,9.80,13.50,3.54,9.99,9.60,-6.22,22.10,97.72,122.72,1.49,0.01,18.15,0.19,12.84
IWS,10.73,13.56,5.28,9.37,8.35,-6.92,22.70,90.69,126.98,1.85,0.11,17.52,0.23,12.84
IYGIX,16.40,23.81,8.85,16.93,15.61,1.27,20.54,108.09,102.99,0.00,0.29,19.43,0.64,8.84
JDJIX,8.25,6.02,6.45,3.92,,1.38,9.58,-6.81,-2.37,0.00,0.32,10.01,1.36,5.84
JEPI,8.23,10.95,6.75,,,,9.82,58.30,60.52,11.38,0.33,10.54,0.35,5.03
JHEQX,11.58,12.11,7.07,10.05,8.36,2.43,9.95,59.88,48.80,0.00,0.42,9.05,0.58,11.47
JHMM,10.65,14.06,4.57,10.56,,-5.44,22.02,95.92,126.28,0.00,0.07,17.76,0.42,6.75
JIGFX,12.11,11.96,5.11,11.32,4.37,4.79,20.27,98.94,100.42,0.00,0.11,16.36,0.90,7.42
JMSIX,4.82,9.31,0.97,2.49,3.56,1.58,7.73,75.22,40.40,6.49,-0.46,5.02,0.40,11.00
JPLD,4.06,7.56,2.38,2.32,2.14,0.66,2.48,43.37,1.59,4.54,-0.42,2.12,0.24,29.77
JQUA,13.36,19.84,10.13,14.67,,0.53,17.59,97.59,92.44,1.27,0.45,15.19,0.12,7.56
JVMIX,9.90,15.60,8.08,11.23,10.06,-4.24,22.24,90.77,113.40,0.00,0.29,16.62,0.87,23.93
LDLFX,3.25,6.46,1.20,1.87,2.17,0.35,3.91,44.89,13.41,4.87,-0.83,2.53,0.48,26.43
LSIIX,2.75,7.26,-0.86,2.32,2.45,2.06,6.81,98.28,84.44,4.95,-0.63,6.58,0.49,18.68
LUBFX,3.65,6.40,3.06,2.27,,0.26,1.34,27.38,-18.35,4.52,-0.21,1.15,0.38,8.62
MDIJX,9.28,10.13,1.46,7.15,6.16,1.10,17.52,103.85,102.38,0.00,-0.12,15.75,0.83,3.41
MEDIX,4.80,9.63,-1.09,1.17,2.68,1.29,11.76,115.79,75.03,5.91,-0.40,11.03,0.81,16.93
MFEIX,22.19,30.83,6.54,14.94,14.99,-0.31,20.92,112.46,106.30,0.00,0.16,20.09,0.58,23.18
MGLIX,1.12,6.46,-4.06,3.21,5.21,-8.80,21.56,85.93,151.08,0.00,-0.37,19.72,0.94,16.23
MHYIX,4.35,9.69,2.79,4.26,4.66,3.50,8.81,81.24,34.08,6.83,-0.08,6.16,0.71,12.26
MMHIX,4.03,8.40,-0.67,2.41,4.45,1.70,9.60,130.26,133.85,4.24,-0.40,9.80,0.63,15.18
MMUIX,9.41,6.99,5.42,7.24,6.27,-2.07,20.06,73.41,97.05,2.51,0.12,18.10,0.75,11.09
MQGIX,8.99,8.65,2.49,8.13,7.22,2.16,17.67,112.76,108.34,0.00,-0.05,16.51,0.84,13.42
MQLIX,3.23,6.87,1.49,2.15,1.87,0.64,3.03,47.51,11.49,4.47,-0.72,2.50,0.43,8.33
MTALX,1.83,5.49,-0.96,1.01,2.39,-0.04,7.26,99.42,103.34,3.88,-0.58,7.31,0.57,26.43
MTBIX,0.97,4.37,-1.18,1.36,2.93,0.25,6.87,99.47,101.65,3.76,-0.63,7.13,0.49,15.93
MTLIX,1.74,4.47,0.11,1.20,1.82,-0.42,3.97,61.42,42.21,3.58,-0.87,3.67,0.44,25.39
NEAR,3.03,7.18,3.50,2.69,2.13,0.81,2.69,37.29,-10.74,4.59,0.17,1.43,0.25,4.63
NXTG,9.87,17.84,5.51,12.88,10.05,1.84,18.91,91.85,95.82,2.15,0.12,17.35,0.70,14.29
PCOXX,3.17,5.52,3.33,2.26,1.62,0.04,0.65,95.85,0.00,0.00,0.05,0.64,0.20,32.24
PEIYX,18.36,23.41,12.30,14.63,11.63,0.83,18.34,85.88,87.22,1.52,0.65,13.82,0.63,12.76
PFPNX,7.04,13.96,-0.52,3.11,,2.67,12.28,77.41,40.84,5.50,-0.36,10.67,1.23,10.14
PFTPX,4.91,7.88,2.77,3.22,3.32,1.94,5.41,65.95,16.46,5.14,-0.12,4.30,0.91,9.02
PGX,4.33,7.73,-3.29,0.50,3.50,1.20,15.10,123.92,136.51,6.34,-0.46,14.18,0.51,17.34
PMFYX,8.35,11.81,6.86,8.16,6.03,-0.28,12.29,73.72,49.67,7.20,0.39,9.12,0.66,13.45
PMOYX,8.05,11.80,7.10,3.43,,-0.33,8.23,33.26,-41.19,5.74,1.41,2.71,0.61,10.16
PONPX,4.14,8.33,1.69,2.98,4.10,2.27,6.88,93.75,54.12,5.15,-0.27,6.04,0.93,18.18
PRDGX,12.99,17.03,7.81,12.30,12.28,-0.88,16.76,80.61,86.59,1.03,0.33,13.88,0.64,25.18
PRFRX,5.12,10.22,6.05,4.94,4.26,3.27,7.70,47.93,-28.46,7.02,0.71,3.91,0.77,13.85
PRPFX,12.51,16.51,6.34,10.47,6.51,2.92,12.23,97.62,58.36,0.00,0.30,10.08,0.81,22.10
PRWCX,9.53,14.54,6.53,11.11,10.91,0.07,13.90,101.10,83.27,1.90,0.28,11.44,0.71,18.93
PSYGX,23.47,27.47,5.09,13.76,13.33,-1.97,25.04,108.45,121.32,0.00,0.09,20.96,0.96,8.17
QAI,4.10,7.24,1.31,2.70,1.98,-2.51,7.21,38.92,37.04,3.23,-0.33,6.17,0.91,14.26
QCLN,-12.76,-32.37,-17.76,11.21,7.50,-6.94,44.76,66.98,217.36,0.22,-0.53,39.73,0.59,18.32
QQQM,15.50,23.76,9.74,,,,,119.12,106.56,0.60,0.29,21.93,0.15,4.63
RRRRX,5.59,12.11,-1.05,4.74,6.74,-7.12,23.04,85.87,134.02,0.00,-0.21,20.79,0.63,20.68
RSP,9.65,12.66,5.73,11.53,10.66,-4.13,20.81,89.90,115.70,1.68,0.15,16.47,0.20,7.15
RWO,2.04,7.09,-3.07,1.04,2.97,-11.70,23.27,85.85,137.35,3.42,-0.33,19.72,0.50,10.34
SCHD,10.56,13.40,6.48,12.79,11.72,-0.34,18.05,67.29,97.53,3.96,0.22,14.29,0.06,13.62
SCIEX,10.69,12.91,2.53,10.19,6.80,3.76,19.81,106.93,101.20,0.00,-0.04,17.88,0.79,15.26
SCZ,6.25,9.03,-2.16,5.36,5.05,-1.28,21.82,111.61,126.79,2.45,-0.31,18.12,0.40,12.50
SDY,9.32,9.23,5.89,8.81,10.09,-4.36,18.48,69.30,96.16,2.57,0.18,14.54,0.35,10.59
SKYY,8.60,18.35,-3.20,10.45,13.97,-2.29,28.38,119.78,105.15,0.00,-0.23,27.60,0.60,13.92
SPY,16.61,22.00,9.50,14.91,13.05,-0.04,18.74,99.69,99.96,1.18,0.38,16.21,0.09,32.38
SPYG,21.90,26.86,7.55,16.25,14.86,0.46,21.25,109.25,101.56,0.57,0.21,19.90,0.04,10.59
STWTX,0.95,4.60,-0.58,1.22,2.56,0.10,6.69,92.94,94.88,3.99,-0.48,7.99,0.49,13.67
SUB,0.99,3.16,0.54,0.97,1.05,-0.91,3.04,43.24,26.18,2.94,-1.12,2.53,0.07,13.93
TCAF,16.39,22.61,,,,,,0.00,0.00,0.65,,,0.31,1.96
TIBIX,12.65,18.53,9.53,9.62,6.84,3.87,17.38,108.34,71.82,3.31,0.50,12.38,0.93,22.45
TIQIX,11.67,17.54,4.81,9.63,8.69,3.19,19.26,119.08,104.59,0.00,0.09,17.38,0.90,4.48
TMCPX,8.79,15.38,7.26,10.45,11.14,-3.57,19.24,90.57,112.22,0.52,0.25,16.17,0.90,13.49
TSHIX,9.30,12.73,4.54,8.90,7.64,-1.91,13.66,89.48,83.36,4.23,0.12,10.10,0.72,11.25
TSWIX,7.44,13.09,3.99,8.35,4.67,1.60,20.62,113.04,113.94,2.07,0.04,17.49,0.86,19.59
UIITX,2.90,6.59,-1.47,1.81,2.71,1.58,6.70,99.05,85.66,4.91,-0.71,6.71,0.57,11.50
VLIFX,11.01,20.38,9.65,13.08,13.91,-0.56,19.19,87.97,96.37,0.00,0.39,16.40,1.08,16.18
VTWO,12.10,14.29,1.90,8.97,8.77,-7.89,25.87,99.24,144.04,1.41,-0.06,21.23,0.07,3.87
VYM,12.94,16.24,9.01,10.62,10.07,-2.24,17.50,76.44,89.79,2.73,0.41,13.91,0.06,9.27
WINN,18.53,28.35,,,,,,120.66,103.24,0.00,,23.51,0.57,3.33
XLK,14.06,23.62,13.53,23.23,20.39,10.04,23.22,122.97,104.16,0.66,0.45,22.51,0.08,10.34
XMVM,12.79,17.65,9.17,13.28,10.06,-3.97,25.77,98.66,128.71,1.87,0.30,20.26,0.39,18.01
