Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
DHEIX,7.77,11.05,4.26,3.89,,2.04,5.62,46.05,-15.56,5.82,0.28,2.39,0.53,8.91
DODLX,5.80,14.95,2.72,4.44,3.79,4.24,9.04,121.60,82.51,5.07,-0.11,8.09,0.45,11.09
DRRIX,8.30,14.19,1.95,4.05,3.81,-2.03,8.24,44.37,45.06,0.00,-0.27,5.97,0.93,9.47
DVHIX,7.21,19.32,0.64,2.94,4.29,2.08,10.62,134.80,145.10,5.04,-0.29,10.19,0.60,17.89
EFA,12.97,25.18,5.65,8.21,5.68,0.48,19.38,114.65,111.10,2.40,0.12,17.08,0.32,12.50
EGIIX,28.54,41.18,10.42,14.67,10.60,8.13,20.22,56.63,18.97,0.00,0.47,14.65,1.23,8.07
EIHIX,7.20,13.86,3.99,5.27,5.17,4.60,10.29,94.32,40.07,6.25,0.06,7.06,0.65,10.58
EIHMX,3.49,12.10,0.59,1.81,3.15,0.53,7.04,102.78,103.18,4.00,-0.40,7.43,0.46,11.84
EIMAX,2.52,9.90,-0.41,0.69,1.93,-0.70,6.37,95.00,102.83,3.75,-0.58,6.90,0.61,15.28
ESIIX,7.15,12.70,4.29,4.96,3.94,3.53,5.72,72.69,17.30,6.66,0.16,4.44,1.21,11.59
FBKWX,5.41,12.76,-0.38,1.66,2.77,1.34,6.63,102.52,91.32,5.11,-0.54,7.29,0.36,20.51
FCDIX,17.65,33.08,6.83,13.96,11.28,-3.13,23.46,100.66,131.76,0.00,0.17,19.68,0.90,15.56
FCSZX,10.59,18.53,1.15,11.43,10.55,-0.51,16.79,92.10,77.34,1.38,-0.20,11.92,0.58,22.93
FCVIX,9.95,25.65,5.91,12.79,10.24,-4.53,25.11,94.85,141.50,0.00,0.12,18.97,1.01,4.08
FDL,20.56,31.27,13.29,10.89,10.23,-3.37,19.76,72.24,89.27,4.48,0.65,14.93,0.45,19.24
FDN,13.61,32.71,-3.51,9.50,13.28,-4.74,27.50,127.21,99.18,0.00,-0.26,26.91,0.51,18.96
FDYZX,24.26,42.83,2.54,15.69,15.77,-2.12,26.52,123.82,118.79,0.00,-0.04,25.53,0.54,57.45
FEHIX,13.21,18.11,4.39,4.98,4.24,3.41,8.28,101.78,55.52,5.34,0.12,6.58,0.91,1.41
FEQZX,17.31,28.82,,,,,,0.00,0.00,0.00,,,0.50,2.75
FGSIX,19.93,36.92,6.95,15.02,12.90,-2.98,24.21,124.26,111.13,0.00,0.16,21.17,0.85,12.42
FIDI,9.90,23.10,7.40,6.33,,-1.49,21.22,100.85,100.21,4.40,0.24,16.71,0.18,7.38
FIJYX,22.69,44.18,6.98,14.66,9.14,5.23,23.87,65.75,54.16,0.00,0.15,23.28,0.58,6.88
FIKAX,6.35,-2.27,23.11,14.48,2.84,-1.10,38.70,63.42,100.72,0.00,0.70,27.77,0.58,5.42
FIKCX,13.49,22.96,2.40,11.18,9.53,1.15,19.15,69.87,97.41,0.00,-0.07,17.37,0.56,16.65
FRIRX,10.40,19.24,2.40,4.24,5.95,-5.57,15.99,66.61,73.88,5.48,-0.12,9.78,0.70,6.25
FTGC,7.87,1.94,6.97,10.54,0.43,3.20,16.74,91.72,74.30,2.36,0.23,15.34,0.98,11.61
FZAEX,19.08,29.47,1.11,7.94,6.68,0.27,21.18,87.76,93.66,0.00,-0.14,18.26,0.81,6.27
GACIX,12.36,27.88,9.35,12.84,9.89,-4.24,22.98,101.87,127.17,0.00,0.31,18.55,1.12,33.63
GLIFX,8.89,20.22,9.40,7.20,9.21,-2.08,15.95,69.77,67.50,0.00,0.43,13.45,0.97,15.42
GSINX,16.16,30.65,8.74,11.86,,5.50,16.93,91.11,82.54,0.00,0.34,15.37,0.88,8.46
GSMTX,4.15,11.36,0.73,1.96,2.97,0.58,7.00,91.94,81.36,4.06,-0.45,6.29,0.40,23.27
GSRTX,7.97,12.70,4.55,4.84,4.09,-1.34,7.32,41.85,38.96,0.00,0.15,6.25,0.85,7.88
HLGEX,8.99,23.33,0.46,12.14,11.50,-4.55,23.26,102.02,117.24,0.00,-0.15,20.36,0.84,9.42
HYD,5.79,13.09,-1.59,0.02,2.75,-0.88,13.25,103.23,118.05,4.57,-0.60,8.37,0.32,2.50
IHDG,10.20,19.39,7.38,11.01,9.78,4.86,16.09,81.44,76.76,2.14,0.29,13.83,0.58,4.60
IJH,13.50,26.29,7.18,11.57,10.19,-5.90,23.37,98.15,128.80,1.59,0.20,18.37,0.05,12.84
ISHYX,6.63,11.60,0.78,1.51,,-0.04,6.53,70.54,56.49,4.55,-0.56,4.97,0.64,9.67
ITM,1.75,9.26,-0.71,0.74,2.25,-0.48,8.32,99.57,100.59,3.51,-0.60,7.11,0.18,2.50
IVVIX,13.58,28.36,5.96,9.46,9.36,-7.35,22.96,97.14,127.66,0.00,0.13,18.32,0.89,3.54
IWB,21.05,35.52,10.69,15.49,12.96,-0.72,19.27,100.64,102.52,1.19,0.43,16.44,0.15,12.84
IWD,16.52,27.54,8.84,10.55,9.07,-4.71,19.24,84.42,105.04,1.93,0.35,14.83,0.19,12.84
IWF,24.38,42.08,11.86,19.54,16.32,2.33,21.96,114.78,100.51,0.48,0.40,20.47,0.19,12.84
IWM,11.03,26.60,1.73,9.27,8.74,-8.64,25.85,98.88,144.28,1.40,-0.09,21.21,0.19,12.84
IWN,8.95,25.52,3.52,9.06,8.05,-8.85,26.64,91.07,146.80,2.27,-0.01,20.84,0.24,12.84
IWO,13.14,27.57,-0.40,8.75,8.95,-9.23,26.78,106.14,141.47,0.50,-0.18,22.70,0.24,12.84
IWP,12.73,29.07,2.12,-3.20,3.36,-6.15,23.80,113.40,112.81,0.41,-0.07,21.10,0.23,12.84
IWR,14.49,29.12,5.60,11.13,9.92,-6.15,22.09,97.72,122.72,1.49,0.11,18.06,0.19,12.84
IWS,14.91,28.76,7.18,10.11,8.72,-7.20,22.69,90.69,126.98,1.85,0.21,17.44,0.23,12.84
IYGIX,20.46,36.35,10.89,17.69,15.74,0.96,20.62,108.09,102.99,0.00,0.38,19.27,0.64,8.84
JDJIX,3.16,-3.58,5.27,2.34,,-0.37,10.26,-6.81,-2.37,0.00,0.15,11.23,1.36,5.84
JEPI,13.36,19.82,9.36,,,,9.74,58.30,60.52,11.38,0.55,10.50,0.35,5.03
JHEQX,16.56,23.09,9.13,10.92,8.66,2.83,10.00,59.88,48.80,0.00,0.61,9.13,0.58,11.47
JHMM,14.93,28.73,6.40,11.54,,-5.54,22.00,95.92,126.28,0.00,0.16,17.66,0.42,6.75
JIGFX,12.64,21.71,5.31,11.29,5.10,3.44,20.24,98.94,100.42,0.00,0.10,16.50,0.90,7.42
JMSIX,7.37,12.74,1.71,2.59,3.82,1.57,7.76,75.22,40.40,6.49,-0.37,5.11,0.40,11.00
JPLD,5.79,8.93,2.98,2.51,2.27,0.75,2.54,43.37,1.59,4.54,-0.25,2.23,0.24,29.77
JQUA,19.34,32.63,13.03,15.73,,0.63,17.62,97.59,92.44,1.27,0.62,15.04,0.12,7.56
JVMIX,12.50,25.61,9.50,11.74,10.34,-4.70,22.19,90.77,113.40,0.00,0.36,16.53,0.87,23.93
LDLFX,4.93,7.89,1.69,2.07,2.34,0.46,3.94,44.89,13.41,4.87,-0.72,2.64,0.48,26.43
LSIIX,5.83,13.59,0.19,2.56,2.86,2.17,6.92,98.28,84.44,4.95,-0.50,6.81,0.49,18.68
LUBFX,4.76,6.68,3.40,2.41,,0.30,1.36,27.38,-18.35,4.52,-0.17,1.15,0.38,8.62
MDIJX,15.13,25.31,4.04,8.18,7.08,0.88,17.55,103.85,102.38,0.00,0.03,15.79,0.83,3.41
MEDIX,9.15,19.29,0.55,2.13,3.21,2.20,11.83,115.79,75.03,5.91,-0.27,11.10,0.81,16.93
MFEIX,25.75,41.87,8.40,15.79,15.14,-0.51,21.09,112.46,106.30,0.00,0.24,20.12,0.58,23.18
MGLIX,8.69,26.64,-0.44,3.72,6.42,-9.44,21.71,85.93,151.08,0.00,-0.20,19.88,0.94,16.23
MHYIX,6.79,12.94,3.35,4.54,4.99,3.69,8.82,81.24,34.08,6.83,-0.04,6.18,0.71,12.26
MMHIX,6.14,16.94,0.42,2.46,4.39,1.50,9.61,130.26,133.85,4.24,-0.32,9.82,0.63,15.18
MMUIX,20.77,33.50,9.77,8.04,7.30,-2.16,20.29,73.41,97.05,2.51,0.34,18.24,0.75,11.09
MQGIX,18.04,30.85,6.47,9.70,8.47,2.47,17.72,112.76,108.34,0.00,0.17,16.55,0.84,13.42
MQLIX,5.06,8.43,2.11,2.31,2.05,0.70,3.09,47.51,11.49,4.47,-0.56,2.62,0.43,8.33
MTALX,3.52,11.73,0.00,1.13,2.41,-0.14,7.27,99.42,103.34,3.88,-0.49,7.34,0.57,26.43
MTBIX,2.90,10.89,-0.15,1.52,2.86,0.21,6.89,99.47,101.65,3.76,-0.52,7.16,0.49,15.93
MTLIX,3.55,7.81,0.90,1.48,1.95,-0.30,4.00,61.42,42.21,3.58,-0.72,3.73,0.44,25.39
NEAR,4.94,8.19,4.12,2.97,2.31,0.98,2.75,37.29,-10.74,4.59,0.34,1.56,0.25,4.63
NXTG,15.10,31.46,7.05,13.78,10.65,1.85,18.99,91.85,95.82,2.15,0.20,17.45,0.70,14.29
PCOXX,4.07,5.50,3.63,2.37,1.71,0.03,0.67,95.85,0.00,0.00,0.07,0.61,0.20,32.24
PEIYX,21.93,33.51,13.71,15.01,11.79,0.35,18.27,85.88,87.22,1.52,0.74,13.64,0.63,12.76
PFPNX,10.76,19.34,0.39,3.37,,2.84,12.29,77.41,40.84,5.50,-0.30,10.74,1.23,10.14
PFTPX,6.66,10.62,3.18,3.67,3.65,2.33,5.43,65.95,16.46,5.14,-0.09,4.35,0.91,9.02
PGX,12.25,19.46,-0.79,1.67,4.14,2.29,15.25,123.92,136.51,6.34,-0.29,14.48,0.51,17.34
PMFYX,10.79,14.84,6.98,8.70,6.36,-0.23,12.26,73.72,49.67,7.20,0.37,9.13,0.66,13.45
PMOYX,7.35,10.25,6.75,2.97,,-1.08,8.23,33.26,-41.19,5.74,1.15,2.75,0.61,10.16
PONPX,6.37,12.62,2.33,3.51,4.26,2.75,6.92,93.75,54.12,5.15,-0.20,6.14,0.93,18.18
PRDGX,17.04,29.04,9.96,12.83,12.42,-1.24,16.75,80.61,86.59,1.03,0.46,13.72,0.64,25.18
PRFRX,6.35,9.76,6.12,5.09,4.42,3.32,7.69,47.93,-28.46,7.02,0.65,3.92,0.77,13.85
PRPFX,18.33,27.30,9.15,11.60,7.42,3.25,12.26,97.62,58.36,0.00,0.55,10.08,0.81,22.10
PRWCX,12.98,22.35,7.81,11.80,11.10,0.03,13.88,101.10,83.27,1.90,0.37,11.38,0.71,18.93
PSYGX,26.59,40.78,5.05,15.54,13.56,-1.25,24.97,108.45,121.32,0.00,0.07,20.75,0.96,8.17
QAI,6.42,10.95,2.42,3.11,2.18,-2.56,7.25,38.92,37.04,3.23,-0.18,6.21,0.91,14.26
QCLN,-14.20,-14.98,-16.40,11.49,7.29,-8.04,44.96,66.98,217.36,0.22,-0.52,38.61,0.59,18.32
QQQM,19.84,37.29,11.74,,,,,119.12,106.56,0.60,0.37,22.01,0.15,4.63
RRRRX,15.05,33.93,3.21,4.93,8.00,-8.11,23.25,85.87,134.02,0.00,-0.02,20.99,0.63,20.68
RSP,14.97,28.54,7.96,12.62,10.99,-4.05,20.78,89.90,115.70,1.68,0.27,16.42,0.20,7.15
RWO,11.50,29.20,1.30,1.96,4.33,-11.98,23.47,85.85,137.35,3.42,-0.12,20.00,0.50,10.34
SCHD,14.13,24.02,8.23,12.97,11.72,-0.99,18.02,67.29,97.53,3.96,0.33,14.22,0.06,13.62
SCIEX,13.99,27.37,3.91,11.01,7.30,3.25,19.75,106.93,101.20,0.00,0.02,17.83,0.79,15.26
SCZ,10.96,23.64,-0.26,6.25,6.12,-2.06,21.83,111.61,126.79,2.45,-0.22,18.14,0.40,12.50
SDY,15.82,26.78,9.37,9.76,10.49,-4.26,18.52,69.30,96.16,2.57,0.40,14.49,0.35,10.59
SKYY,16.72,34.77,-0.72,12.94,14.55,-0.97,28.46,119.78,105.15,0.00,-0.16,27.62,0.60,13.92
SPY,21.96,36.16,11.82,15.89,13.28,-0.06,18.79,99.69,99.96,1.18,0.51,16.16,0.09,32.38
SPYG,28.09,40.99,10.03,17.51,15.07,0.63,21.45,109.25,101.56,0.57,0.32,19.92,0.04,10.59
STWTX,3.13,12.78,0.36,1.51,2.57,0.18,6.73,92.94,94.88,3.99,-0.40,8.05,0.49,13.67
SUB,2.25,5.24,1.04,1.25,1.16,-0.77,3.06,43.24,26.18,2.94,-1.02,2.58,0.07,13.93
TCAF,20.57,34.49,,,,,,0.00,0.00,0.65,,,0.31,1.96
TIBIX,15.44,25.10,10.67,9.63,7.24,2.74,17.39,108.34,71.82,3.31,0.57,12.35,0.93,22.45
TIQIX,15.11,30.04,7.18,10.64,8.80,2.88,19.27,119.08,104.59,0.00,0.21,17.36,0.90,4.48
TMCPX,10.63,24.61,8.77,10.15,10.98,-4.76,19.22,90.57,112.22,0.52,0.32,16.08,0.90,13.49
TSHIX,13.47,21.68,6.22,9.29,8.07,-2.25,13.67,89.48,83.36,4.23,0.26,10.09,0.72,11.25
TSWIX,11.80,26.89,6.24,8.81,5.50,0.64,20.65,113.04,113.94,2.07,0.15,17.55,0.86,19.59
UIITX,5.79,12.38,-0.29,2.01,2.97,1.64,6.82,99.05,85.66,4.91,-0.56,6.94,0.57,11.50
VLIFX,15.32,30.95,12.30,13.76,14.15,-0.87,19.20,87.97,96.37,0.00,0.54,16.23,1.08,16.18
VTWO,11.19,26.78,1.89,9.44,8.83,-8.46,25.82,99.24,144.04,1.41,-0.08,21.20,0.07,3.87
VYM,17.29,27.96,10.82,11.08,10.21,-2.60,17.50,76.44,89.79,2.73,0.52,13.79,0.06,9.27
WINN,23.95,43.62,,,,,,120.66,103.24,0.00,,23.29,0.57,3.33
XLK,17.95,38.80,15.75,24.07,20.47,9.78,23.56,122.97,104.16,0.66,0.53,22.89,0.08,10.34
XMVM,11.39,22.97,9.34,13.23,10.02,-5.00,25.66,98.66,128.71,1.87,0.28,20.12,0.39,18.01
