Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
EIMAX,-0.14,3.21,-1.42,0.46,1.87,-0.70,6.35,95.00,102.83,3.75,-0.67,6.83,0.61,15.28
ESIIX,2.76,7.72,2.90,4.35,3.63,3.18,5.66,72.69,17.30,6.66,-0.05,4.28,1.21,11.59
FBKWX,0.20,4.24,-1.96,1.07,2.24,1.30,6.50,102.52,91.32,5.11,-0.72,7.04,0.36,20.51
FCDIX,7.29,16.67,4.07,11.54,9.42,-4.61,23.42,100.66,131.76,0.00,0.05,19.56,0.90,15.56
FCSZX,4.03,9.17,-0.69,9.51,9.54,-1.73,16.80,92.10,77.34,1.38,-0.32,11.97,0.58,22.93
FCVIX,-0.61,10.95,2.92,10.84,8.24,-5.60,25.02,94.85,141.50,0.00,-0.01,18.60,1.01,4.08
FDL,7.99,16.71,9.06,9.01,8.94,-4.47,19.75,72.24,89.27,4.48,0.40,14.67,0.45,19.24
FDN,9.86,25.69,-5.76,7.35,13.15,-5.55,27.31,127.21,99.18,0.00,-0.33,26.61,0.51,18.96
FDYZX,22.99,34.96,2.85,14.84,15.83,-1.88,26.27,123.82,118.79,0.00,-0.01,25.40,0.54,57.45
FEHIX,8.48,13.57,3.25,4.36,3.61,2.98,8.24,101.78,55.52,5.34,0.02,6.47,0.91,1.41
FEQZX,11.73,19.06,,,,,,0.00,0.00,0.00,,,0.50,2.75
FGSIX,11.06,22.27,5.52,12.77,12.07,-4.12,24.18,124.26,111.13,0.00,0.11,21.45,0.85,12.42
FIDI,1.68,11.50,4.70,4.63,,-1.06,21.33,100.85,100.21,4.40,0.10,16.52,0.18,7.38
FIJYX,9.69,22.74,3.51,10.19,8.81,1.69,24.09,65.75,54.16,0.00,0.02,23.16,0.58,6.88
FIKAX,12.13,19.18,25.88,13.69,2.32,-0.60,38.72,63.42,100.72,0.00,0.78,29.15,0.58,5.42
FIKCX,4.08,5.10,-0.93,7.86,9.22,-1.17,19.56,69.87,97.41,0.00,-0.23,17.37,0.56,16.65
FRIRX,2.56,7.79,0.35,3.57,5.05,-5.22,15.91,66.61,73.88,5.48,-0.29,9.53,0.70,6.25
FTGC,8.02,8.23,8.18,10.04,-0.97,3.21,16.56,91.72,74.30,2.36,0.31,15.32,0.98,11.61
FZAEX,9.56,13.49,-4.78,5.65,5.37,0.05,21.10,87.76,93.66,0.00,-0.43,18.23,0.81,6.27
GACIX,1.76,8.92,5.38,10.55,8.09,-5.63,22.95,101.87,127.17,0.00,0.12,18.30,1.12,33.63
GLIFX,-0.85,3.15,6.21,5.84,8.12,-2.51,15.85,69.77,67.50,0.00,0.23,13.26,0.97,15.42
GSINX,16.92,29.20,8.57,11.96,,7.19,16.81,91.11,82.54,0.00,0.35,15.43,0.88,8.46
GSMTX,1.62,5.47,-0.20,1.70,2.92,0.54,6.98,91.94,81.36,4.06,-0.53,6.25,0.40,23.27
GSRTX,4.63,8.50,3.13,4.27,3.61,-1.23,7.24,41.85,38.96,0.00,0.00,6.15,0.85,7.88
HLGEX,6.20,13.66,-0.93,11.07,10.94,-4.63,23.26,102.02,117.24,0.00,-0.20,20.40,0.84,9.42
HYD,2.88,5.61,-2.67,-0.11,2.75,-0.98,13.24,103.23,118.05,4.57,-0.74,8.32,0.32,2.50
IHDG,9.72,15.58,7.11,11.50,9.62,6.97,16.05,81.44,76.76,2.14,0.29,13.90,0.58,4.60
IJH,6.15,12.73,4.19,10.07,9.00,-6.47,23.39,98.15,128.80,1.59,0.06,18.44,0.05,12.84
ISHYX,4.01,6.68,0.00,1.31,,-0.02,6.51,70.54,56.49,4.55,-0.64,4.90,0.64,9.67
ITM,-0.84,2.56,-1.76,0.55,2.15,-0.53,8.32,99.57,100.59,3.51,-0.72,7.05,0.18,2.50
IVVIX,4.16,12.08,1.84,7.11,7.81,-8.75,22.92,97.14,127.66,0.00,-0.07,18.20,0.89,3.54
IWB,14.15,23.75,8.60,14.46,12.37,-0.78,19.23,100.64,102.52,1.19,0.33,16.46,0.15,12.84
IWD,6.53,12.88,5.34,8.87,8.07,-5.50,19.30,84.42,105.04,1.93,0.15,14.83,0.19,12.84
IWF,20.59,33.38,11.12,19.14,16.13,3.02,21.64,114.78,100.51,0.48,0.40,20.18,0.19,12.84
IWM,1.68,9.91,-2.68,6.84,6.97,-10.13,25.74,98.88,144.28,1.40,-0.28,20.76,0.19,12.84
IWN,-0.98,10.57,-0.75,6.86,6.07,-10.13,26.49,91.07,146.80,2.27,-0.19,20.17,0.24,12.84
IWO,4.38,9.03,-4.91,6.10,7.41,-10.83,26.75,106.14,141.47,0.50,-0.36,22.49,0.24,12.84
IWP,5.88,14.83,-0.26,-4.56,2.61,-6.65,23.79,113.40,112.81,0.41,-0.16,21.23,0.23,12.84
IWR,4.87,12.69,2.22,9.29,8.77,-6.99,22.10,97.72,122.72,1.49,-0.05,18.12,0.19,12.84
IWS,4.44,11.76,3.45,8.28,7.40,-8.07,22.72,90.69,126.98,1.85,0.02,17.43,0.23,12.84
IYGIX,15.61,25.34,9.84,17.19,15.46,1.48,20.51,108.09,102.99,0.00,0.35,19.37,0.64,8.84
JDJIX,11.75,11.23,7.28,,,,9.55,-6.81,-2.37,0.00,0.42,9.94,1.36,5.84
JEPI,6.15,10.54,6.98,,,,9.92,58.30,60.52,11.38,0.36,10.56,0.35,5.03
JHEQX,10.83,13.69,7.25,10.04,8.20,2.43,9.93,59.88,48.80,0.00,0.46,8.96,0.58,11.47
JHMM,4.97,11.99,3.12,9.71,,-6.37,22.02,95.92,126.28,0.00,0.00,17.72,0.42,6.75
JIGFX,9.48,12.57,3.78,10.26,3.86,4.51,20.35,98.94,100.42,0.00,0.04,16.34,0.90,7.42
JMSIX,3.31,8.75,0.53,2.28,3.36,1.67,7.72,75.22,40.40,6.49,-0.52,4.98,0.40,11.00
JPLD,2.80,6.69,2.03,2.10,2.01,0.56,2.46,43.37,1.59,4.54,-0.52,2.09,0.24,29.77
JQUA,11.18,21.06,10.54,14.59,,0.45,17.61,97.59,92.44,1.27,0.49,15.19,0.12,7.56
JVMIX,4.31,13.10,6.19,10.53,9.27,-4.99,22.26,90.77,113.40,0.00,0.18,16.55,0.87,23.93
LDLFX,2.01,5.87,0.86,1.69,2.04,0.35,3.90,44.89,13.41,4.87,-0.91,2.50,0.48,26.43
LSIIX,0.67,5.48,-1.35,1.96,2.13,2.12,6.81,98.28,84.44,4.95,-0.68,6.54,0.49,18.68
LUBFX,2.89,6.24,2.82,2.17,,0.24,1.32,27.38,-18.35,4.52,-0.28,1.14,0.38,8.62
MDIJX,5.40,9.18,0.20,6.03,5.53,0.69,17.53,103.85,102.38,0.00,-0.19,15.71,0.83,3.41
MEDIX,2.68,9.49,-1.68,0.98,2.45,1.59,11.75,115.79,75.03,5.91,-0.44,11.01,0.81,16.93
MFEIX,24.43,36.39,8.46,15.80,15.12,0.50,20.86,112.46,106.30,0.00,0.27,19.97,0.58,23.18
MGLIX,-4.26,3.77,-4.35,2.04,4.66,-9.67,21.50,85.93,151.08,0.00,-0.38,19.57,0.94,16.23
MHYIX,3.04,9.70,2.44,4.06,4.42,3.64,8.81,81.24,34.08,6.83,-0.11,6.15,0.71,12.26
MMHIX,3.06,8.05,-0.61,2.29,4.36,1.58,9.59,130.26,133.85,4.24,-0.38,9.77,0.63,15.18
MMUIX,2.09,1.01,3.72,5.71,5.05,-3.36,20.06,73.41,97.05,2.51,0.03,18.10,0.75,11.09
MQGIX,6.31,8.63,1.75,7.18,6.61,1.90,17.68,112.76,108.34,0.00,-0.08,16.49,0.84,13.42
MQLIX,1.79,5.89,1.06,1.84,1.72,0.50,3.01,47.51,11.49,4.47,-0.84,2.46,0.43,8.33
MTALX,0.87,4.77,-0.99,0.96,2.32,-0.08,7.26,99.42,103.34,3.88,-0.57,7.28,0.57,26.43
MTBIX,0.21,3.80,-1.21,1.34,2.86,0.25,6.88,99.47,101.65,3.76,-0.61,7.11,0.49,15.93
MTLIX,0.95,4.01,0.05,1.18,1.74,-0.41,3.97,61.42,42.21,3.58,-0.85,3.65,0.44,25.39
NEAR,1.76,6.46,3.09,2.48,2.00,0.67,2.67,37.29,-10.74,4.59,-0.03,1.38,0.25,4.63
NXTG,7.18,16.64,4.71,12.80,9.58,2.03,18.93,91.85,95.82,2.15,0.09,17.28,0.70,14.29
PCOXX,2.70,5.51,3.17,2.21,1.58,0.04,0.64,95.85,0.00,0.00,0.06,0.66,0.20,32.24
PEIYX,14.18,23.18,11.25,14.10,10.99,0.26,18.39,85.88,87.22,1.52,0.59,13.82,0.63,12.76
PFPNX,5.53,15.20,-0.87,3.10,,3.05,12.28,77.41,40.84,5.50,-0.38,10.64,1.23,10.14
PFTPX,3.26,7.30,2.23,2.96,3.07,1.89,5.40,65.95,16.46,5.14,-0.21,4.28,0.91,9.02
PGX,3.82,8.08,-3.47,0.84,3.40,2.13,15.09,123.92,136.51,6.34,-0.47,14.15,0.51,17.34
PMFYX,4.41,11.17,5.01,7.26,5.50,-1.17,12.30,73.72,49.67,7.20,0.21,9.04,0.66,13.45
PMOYX,7.01,12.16,6.27,3.52,,-0.13,8.23,33.26,-41.19,5.74,1.13,2.77,0.61,10.16
PONPX,1.77,7.13,1.02,2.58,3.88,2.17,6.87,93.75,54.12,5.15,-0.35,6.01,0.93,18.18
PRDGX,9.81,16.81,7.86,11.94,11.72,-1.27,16.77,80.61,86.59,1.03,0.34,13.91,0.64,25.18
PRFRX,4.15,10.56,5.74,4.90,4.14,3.38,7.70,47.93,-28.46,7.02,0.66,3.92,0.77,13.85
PRPFX,10.15,19.02,5.63,10.14,6.17,2.80,12.22,97.62,58.36,0.00,0.25,10.05,0.81,22.10
PRWCX,7.08,14.32,6.50,10.74,10.51,-0.32,13.90,101.10,83.27,1.90,0.29,11.43,0.71,18.93
PSYGX,15.17,22.47,3.14,12.74,11.80,-3.05,25.00,108.45,121.32,0.00,0.00,20.81,0.96,8.17
QAI,2.93,8.14,0.71,2.42,1.74,-2.63,7.20,38.92,37.04,3.23,-0.38,6.15,0.91,14.26
QCLN,-18.89,-33.03,-20.66,10.59,6.00,-6.98,44.72,66.98,217.36,0.22,-0.60,39.62,0.59,18.32
QQQM,17.39,30.60,11.36,,,,,119.12,106.56,0.60,0.38,21.76,0.15,4.63
RRRRX,-1.11,6.37,-1.64,3.64,6.07,-7.91,22.96,85.87,134.02,0.00,-0.23,20.55,0.63,20.68
RSP,4.97,11.56,4.64,10.75,9.92,-4.97,20.85,89.90,115.70,1.68,0.09,16.45,0.20,7.15
RWO,-3.66,4.80,-3.55,-0.02,2.38,-12.42,23.19,85.85,137.35,3.42,-0.34,19.51,0.50,10.34
SCHD,4.01,11.13,4.56,11.78,10.84,-1.36,18.07,67.29,97.53,3.96,0.10,14.11,0.06,13.62
SCIEX,7.15,10.84,1.29,9.15,6.31,3.49,19.84,106.93,101.20,0.00,-0.10,17.86,0.79,15.26
SCZ,0.57,7.22,-3.38,4.06,4.21,-1.81,21.83,111.61,126.79,2.45,-0.36,18.10,0.40,12.50
SDY,3.04,6.51,4.05,7.71,9.03,-5.46,18.49,69.30,96.16,2.57,0.06,14.44,0.35,10.59
SKYY,9.02,25.77,-3.09,10.88,13.91,-1.61,28.35,119.78,105.15,0.00,-0.23,27.50,0.60,13.92
SPY,15.21,24.39,9.92,14.96,12.76,-0.03,18.74,99.69,99.96,1.18,0.42,16.17,0.09,32.38
SPYG,23.51,32.45,9.37,16.82,14.87,0.98,21.14,109.25,101.56,0.57,0.32,19.71,0.04,10.59
STWTX,-0.13,3.36,-0.79,1.09,2.52,-0.01,6.69,92.94,94.88,3.99,-0.49,7.98,0.49,13.67
SUB,0.25,2.54,0.38,0.92,0.98,-0.93,3.03,43.24,26.18,2.94,-1.16,2.50,0.07,13.93
TCAF,13.89,23.36,,,,,,0.00,0.00,0.65,,,0.31,1.96
TIBIX,8.52,17.37,8.23,8.70,6.42,3.61,17.40,108.34,71.82,3.31,0.41,12.32,0.93,22.45
TIQIX,8.07,16.57,4.04,8.91,8.12,3.24,19.30,119.08,104.59,0.00,0.05,17.36,0.90,4.48
TMCPX,2.76,12.04,5.27,9.85,10.10,-4.22,19.30,90.57,112.22,0.52,0.13,16.07,0.90,13.49
TSHIX,7.39,13.45,4.40,8.83,7.34,-2.00,13.67,89.48,83.36,4.23,0.13,10.06,0.72,11.25
TSWIX,3.37,11.94,2.74,7.06,4.04,1.13,20.70,113.04,113.94,2.07,-0.02,17.43,0.86,19.59
UIITX,0.63,4.37,-1.84,1.40,2.48,1.58,6.69,99.05,85.66,4.91,-0.75,6.68,0.57,11.50
VLIFX,4.90,14.33,8.78,12.03,12.84,-1.66,19.20,87.97,96.37,0.00,0.35,16.37,1.08,16.18
VTWO,1.75,10.09,-2.54,7.00,7.05,-9.95,25.71,99.24,144.04,1.41,-0.27,20.75,0.07,3.87
VYM,7.82,15.37,7.53,9.76,9.38,-3.16,17.54,76.44,89.79,2.73,0.32,13.87,0.06,9.27
WINN,22.21,36.48,,,,,,120.66,103.24,0.00,,23.70,0.57,3.33
XLK,17.96,31.07,16.26,24.88,20.99,12.01,23.07,122.97,104.16,0.66,0.59,22.23,0.08,10.34
XMVM,3.37,13.83,6.26,11.25,8.76,-6.09,25.80,98.66,128.71,1.87,0.15,20.10,0.39,18.01
