Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
IWF,-8.43,14.33,15.43,17.04,15.07,-0.40,19.30,114.78,100.51,0.48,0.58,18.86,0.19,12.84
IWM,-11.56,0.76,3.17,9.75,6.27,-7.33,21.12,98.88,144.28,1.40,-0.06,21.02,0.19,12.84
IWN,-11.48,-0.90,1.17,11.51,5.70,-5.01,21.50,91.07,146.80,2.27,-0.15,21.45,0.24,12.84
IWO,-11.69,2.34,5.00,7.53,6.38,-10.05,22.46,106.14,141.47,0.50,0.02,21.21,0.24,12.84
IWP,-4.08,13.38,11.47,-2.45,2.72,-5.31,20.82,113.40,112.81,0.41,0.35,20.03,0.23,12.84
IWR,-4.46,7.14,6.91,12.78,8.54,-3.43,16.83,97.72,122.72,1.49,0.14,17.79,0.19,12.84
IWS,-4.61,5.02,4.85,13.02,7.26,-2.72,16.50,90.69,126.98,1.85,0.02,17.60,0.23,12.84
IYGIX,-7.03,10.61,13.47,15.32,14.28,-1.71,17.59,108.09,102.99,0.00,0.53,16.96,0.64,8.84
JDJIX,-6.53,-16.14,-1.79,2.76,,0.13,9.97,-6.81,-2.37,0.00,-0.58,10.79,1.36,5.84
JEPI,-1.54,7.15,7.36,,,,10.00,58.30,60.52,11.38,0.28,10.26,0.35,5.03
JHEQX,-5.20,8.68,9.51,9.05,7.72,0.11,8.47,59.88,48.80,0.00,0.53,9.54,0.58,11.47
JHMM,-5.96,4.79,6.02,12.83,,-3.28,16.70,95.92,126.28,0.00,0.08,17.84,0.42,6.75
JIGFX,5.93,5.13,7.76,12.85,5.21,2.60,15.66,98.94,100.42,0.00,0.21,15.89,0.90,7.42
JMSIX,2.61,9.13,4.29,5.01,3.80,4.32,4.23,75.22,40.40,6.49,-0.03,4.78,0.40,11.00
JPLD,2.11,6.95,4.79,2.99,2.42,1.16,1.84,43.37,1.59,4.54,0.18,1.96,0.24,29.77
JQUA,-1.69,13.55,13.61,16.10,,1.25,13.93,97.59,92.44,1.27,0.63,14.42,0.12,7.56
JVMIX,-4.23,2.36,6.73,14.27,8.41,-0.75,16.27,90.77,113.40,0.00,0.13,16.92,0.87,23.93
LDLFX,2.23,6.86,3.80,3.02,2.44,1.39,2.18,44.89,13.41,4.87,-0.28,2.34,0.48,26.43
LSIIX,2.21,7.17,2.88,2.04,2.73,2.50,5.78,98.28,84.44,4.95,-0.24,6.66,0.49,18.68
LUBFX,1.57,5.69,4.76,2.91,,0.54,1.01,27.38,-18.35,4.52,0.38,0.83,0.38,8.62
MDIJX,8.89,13.57,8.73,9.57,6.52,-0.33,14.16,103.85,102.38,0.00,0.29,14.86,0.83,3.41
MEDIX,1.58,8.18,5.33,3.44,2.94,4.64,9.23,115.79,75.03,5.91,0.09,10.04,0.81,16.93
MFEIX,-7.69,9.60,13.82,13.18,13.87,-3.65,18.80,112.46,106.30,0.00,0.51,18.29,0.58,23.18
MGLIX,-0.50,5.19,-4.13,4.68,4.20,-9.49,17.28,85.93,151.08,0.00,-0.45,19.03,0.94,16.23
MHYIX,0.70,6.42,5.61,6.09,4.82,5.75,5.32,81.24,34.08,6.83,0.20,5.73,0.71,12.26
MMHIX,-2.02,2.49,2.83,3.25,3.54,2.66,8.27,130.26,133.85,4.24,-0.17,9.27,0.63,15.18
MMUIX,2.66,15.29,4.17,9.29,6.34,-1.15,16.21,73.41,97.05,2.51,-0.02,17.69,0.75,11.09
MQGIX,8.21,16.70,10.04,10.68,7.80,0.76,14.77,112.76,108.34,0.00,0.36,15.66,0.84,13.42
MQLIX,2.15,7.20,4.25,2.72,2.23,1.13,2.14,47.51,11.49,4.47,-0.08,2.29,0.43,8.33
MTALX,-1.38,2.07,2.01,1.54,1.93,0.49,6.15,99.42,103.34,3.88,-0.35,6.92,0.57,26.43
MTBIX,-1.02,1.87,2.31,1.44,2.41,0.37,6.04,99.47,101.65,3.76,-0.33,6.50,0.49,15.93
MTLIX,0.69,3.81,2.88,1.85,1.88,-0.02,3.14,61.42,42.21,3.58,-0.47,3.30,0.44,25.39
NEAR,2.29,7.04,5.27,3.58,2.50,1.51,1.36,37.29,-10.74,4.59,0.66,1.46,0.25,4.63
NXTG,1.86,16.86,9.59,13.20,9.60,0.19,16.05,91.85,95.82,2.15,0.31,16.78,0.70,14.29
PCOXX,1.43,4.93,4.51,2.72,1.97,0.04,0.68,95.85,0.00,0.00,0.20,0.35,0.20,32.24
PEIYX,-0.62,8.06,11.64,16.44,10.76,2.96,13.39,85.88,87.22,1.52,0.51,14.06,0.63,12.76
PFPNX,0.53,8.46,3.99,4.43,4.92,4.49,8.83,77.41,40.84,5.50,-0.05,10.20,1.23,10.14
PFTPX,2.74,8.36,5.84,4.84,4.04,3.79,3.66,65.95,16.46,5.14,0.35,3.94,0.91,9.02
PGX,-2.34,3.11,1.81,0.64,2.78,2.72,11.99,123.92,136.51,6.34,-0.18,13.78,0.51,17.34
PMFYX,5.84,10.05,8.38,11.27,6.48,3.49,8.67,73.72,49.67,7.20,0.45,8.79,0.66,13.45
PMOYX,2.53,7.27,7.72,6.55,4.10,3.40,3.38,33.26,-41.19,5.74,1.22,2.68,0.61,10.16
PONPX,3.50,9.46,5.55,4.71,4.24,4.65,5.17,93.75,54.12,5.15,0.19,5.76,0.93,18.18
PRDGX,0.83,9.34,9.11,13.48,11.29,-0.33,12.81,80.61,86.59,1.03,0.35,13.18,0.64,25.18
PRFRX,0.57,6.46,6.93,7.01,4.41,5.07,3.30,47.93,-28.46,7.02,0.72,3.43,0.77,13.85
PRPFX,7.81,21.87,12.48,13.48,8.37,4.84,9.69,97.62,58.36,0.00,0.84,9.60,0.81,22.10
PRWCX,0.23,10.25,9.28,11.39,10.26,-0.05,10.18,101.10,83.27,1.90,0.47,10.34,0.71,18.93
PSYGX,-7.73,5.48,10.47,12.38,10.95,-4.21,20.48,108.45,121.32,0.00,0.32,18.66,0.96,8.17
QAI,-0.60,4.71,4.45,3.35,1.89,-2.93,5.67,38.92,37.04,3.23,-0.01,5.87,0.91,14.26
QCLN,-18.26,-13.40,-18.48,2.97,4.62,-18.32,41.17,66.98,217.36,0.22,-0.67,34.36,0.59,18.32
QQQM,-6.68,12.93,15.86,,,,,119.12,106.56,0.60,0.56,20.12,0.15,4.63
RRRRX,0.42,16.64,-0.99,7.71,5.95,-6.33,18.56,85.87,134.02,0.00,-0.28,19.36,0.63,20.68
RSP,-2.95,6.68,6.51,13.82,9.53,-1.61,15.40,89.90,115.70,1.68,0.13,16.27,0.20,7.15
RWO,2.33,12.74,-1.72,6.07,2.52,-8.05,17.73,85.85,137.35,3.42,-0.32,19.02,0.50,10.34
SCHD,-4.58,4.56,4.60,12.73,10.47,-0.23,14.41,67.29,97.53,3.96,0.01,14.69,0.06,13.62
SCIEX,8.68,13.74,9.24,12.35,7.15,1.82,16.14,106.93,101.20,0.00,0.29,16.40,0.79,15.26
SCZ,10.14,13.01,5.55,8.91,5.36,-1.71,16.31,111.61,126.79,2.45,0.06,17.13,0.40,12.50
SDY,-0.03,5.80,4.60,11.34,8.97,-1.60,14.05,69.30,96.16,2.57,0.01,14.63,0.35,10.59
SKYY,-12.53,14.99,11.20,11.00,13.48,-5.53,27.25,119.78,105.15,0.00,0.25,26.54,0.60,13.92
SPY,-4.94,11.98,12.08,15.50,12.22,-0.12,14.90,99.69,99.96,1.18,0.49,15.35,0.09,32.38
SPYG,-6.44,17.45,13.42,15.99,14.11,-1.05,18.71,109.25,101.56,0.57,0.49,18.21,0.04,10.59
STWTX,-1.59,2.25,2.23,0.66,2.08,-0.31,6.60,92.94,94.88,3.99,-0.28,7.92,0.49,13.67
SUB,0.75,3.16,2.34,1.27,1.21,-0.90,2.08,43.24,26.18,2.94,-0.92,2.29,0.07,13.93
TCAF,-3.55,10.09,,,,,,0.00,0.00,0.65,,,0.31,1.96
TIBIX,10.24,21.73,13.87,15.54,7.69,7.33,11.75,108.34,71.82,3.31,0.79,11.87,0.93,22.45
TIQIX,11.49,18.83,12.77,13.70,8.26,3.31,15.41,119.08,104.59,0.00,0.50,16.51,0.90,4.48
TMCPX,-5.70,0.64,7.84,10.67,9.31,-3.61,14.90,90.57,112.22,0.52,0.21,16.36,0.90,13.49
TSHIX,-0.94,10.62,6.67,10.93,7.60,0.30,9.35,89.48,83.36,4.23,0.22,9.91,0.72,11.25
TSWIX,11.94,15.33,10.57,12.71,5.21,1.96,16.16,113.04,113.94,2.07,0.35,17.39,0.86,19.59
UIITX,3.00,8.17,2.90,1.91,2.81,2.40,5.85,99.05,85.66,4.91,-0.24,6.59,0.57,11.50
VLIFX,-1.75,4.74,9.69,13.65,12.40,-1.13,14.92,87.97,96.37,0.00,0.34,15.29,1.08,16.18
VTWO,-11.56,0.89,3.33,9.93,6.37,-7.15,21.12,99.24,144.04,1.41,-0.05,21.02,0.07,3.87
VYM,-1.83,10.03,8.26,13.25,9.38,0.53,13.21,76.44,89.79,2.73,0.27,14.12,0.06,9.27
WINN,-7.33,12.83,15.71,,,,,120.66,103.24,0.00,0.54,20.55,0.57,3.33
XLK,-9.41,7.85,15.08,19.10,18.76,2.99,21.25,122.97,104.16,0.66,0.47,22.36,0.08,10.34
XMVM,-6.50,2.84,6.70,16.70,8.63,-0.12,20.50,98.66,128.71,1.87,0.11,20.94,0.39,18.01
