Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
FGSIX,33.44,33.44,8.76,16.50,13.35,-0.15,24.81,124.26,111.13,0.00,0.23,20.88,0.85,12.42
FIDI,0.30,0.30,3.47,2.81,,-1.45,21.25,100.85,100.21,4.40,-0.03,16.59,0.18,7.38
FIJYX,5.73,5.73,2.79,6.89,6.22,-1.15,24.26,65.75,54.16,0.00,-0.05,22.54,0.58,6.88
FIKAX,4.28,4.28,19.81,12.54,4.44,-0.81,38.28,63.42,100.72,0.00,0.60,26.50,0.58,5.42
FIKCX,4.31,4.31,-1.75,5.17,7.77,-3.57,19.02,69.87,97.41,0.00,-0.36,15.70,0.56,16.65
FRIRX,7.88,7.88,0.26,3.47,5.28,-5.05,15.99,66.61,73.88,5.48,-0.38,9.73,0.70,6.25
FTGC,9.73,9.73,6.95,9.78,1.70,3.41,16.48,91.72,74.30,2.36,0.20,14.80,0.98,11.61
FZAEX,9.43,9.43,-1.57,3.98,5.89,-0.14,21.38,87.76,93.66,0.00,-0.29,19.25,0.81,6.27
GACIX,10.50,10.50,5.73,11.10,9.00,-4.69,23.16,101.87,127.17,0.00,0.09,18.49,1.12,33.63
GLIFX,6.71,6.71,5.31,5.99,8.55,-2.16,15.80,69.77,67.50,0.00,0.10,13.34,0.97,15.42
GSINX,5.05,5.05,4.41,8.13,,4.40,17.12,91.11,82.54,0.00,0.03,15.25,0.88,8.46
GSMTX,3.42,3.42,0.26,1.56,2.78,0.57,7.00,91.94,81.36,4.06,-0.59,6.28,0.40,23.27
GSRTX,6.93,6.93,3.49,4.06,3.75,-1.41,7.34,41.85,38.96,0.00,-0.08,6.11,0.85,7.88
HLGEX,14.35,14.35,0.87,11.01,11.53,-4.34,23.48,102.02,117.24,0.00,-0.16,19.48,0.84,9.42
HYD,4.51,4.51,-2.24,-0.39,2.42,-0.59,13.25,103.23,118.05,4.57,-0.72,8.34,0.32,2.50
IHDG,6.42,6.42,4.09,8.39,9.31,4.62,16.06,81.44,76.76,2.14,0.00,13.52,0.58,4.60
IJH,13.88,13.88,4.59,10.14,9.55,-5.90,23.48,98.15,128.80,1.59,0.03,18.13,0.05,12.84
ISHYX,6.40,6.40,0.32,1.29,,0.03,6.52,70.54,56.49,4.55,-0.74,4.97,0.64,9.67
ITM,0.57,0.57,-1.36,0.40,1.99,-0.35,8.32,99.57,100.59,3.51,-0.73,7.07,0.18,2.50
IVVIX,14.86,14.86,4.62,8.38,8.76,-7.13,23.11,97.14,127.66,0.00,0.04,18.19,0.89,3.54
IWB,24.33,24.33,8.27,14.12,12.73,-0.61,19.23,100.64,102.52,1.19,0.27,16.08,0.15,12.84
IWD,14.16,14.16,5.45,8.50,8.33,-5.51,19.27,84.42,105.04,1.93,0.10,14.89,0.19,12.84
IWF,33.11,33.11,10.32,18.77,16.57,3.28,21.94,114.78,100.51,0.48,0.32,19.71,0.19,12.84
IWM,11.35,11.35,1.13,7.29,7.76,-9.21,26.04,98.88,144.28,1.40,-0.14,20.64,0.19,12.84
IWN,7.74,7.74,1.70,7.06,6.97,-9.42,26.75,91.07,146.80,2.27,-0.11,20.76,0.24,12.84
IWO,15.04,15.04,0.16,6.78,8.09,-9.82,27.00,106.14,141.47,0.50,-0.18,21.39,0.24,12.84
IWP,21.83,21.83,3.84,-3.19,3.60,-4.81,24.22,113.40,112.81,0.41,-0.01,20.43,0.23,12.84
IWR,15.14,15.14,3.63,9.75,9.35,-6.11,22.20,97.72,122.72,1.49,-0.02,17.87,0.19,12.84
IWS,12.84,12.84,3.69,8.38,7.90,-7.49,22.75,90.69,126.98,1.85,-0.02,17.47,0.23,12.84
IYGIX,24.25,24.25,7.93,16.57,15.53,1.43,20.49,108.09,102.99,0.00,0.21,18.48,0.64,8.84
JDJIX,2.59,2.59,5.78,2.51,,-0.33,10.20,-6.81,-2.37,0.00,0.16,11.17,1.36,5.84
JEPI,12.56,12.56,6.06,,,,9.59,58.30,60.52,11.38,0.20,10.34,0.35,5.03
JHEQX,18.23,18.23,8.06,10.30,8.38,2.68,10.04,59.88,48.80,0.00,0.45,9.07,0.58,11.47
JHMM,14.66,14.66,3.61,9.97,,-5.71,22.11,95.92,126.28,0.00,-0.02,17.56,0.42,6.75
JIGFX,5.93,5.93,2.38,7.23,5.52,3.06,20.18,98.94,100.42,0.00,-0.10,16.18,0.90,7.42
JMSIX,7.72,7.72,1.90,2.45,3.82,1.76,7.76,75.22,40.40,6.49,-0.41,5.09,0.40,11.00
JPLD,6.07,6.07,3.18,2.47,2.27,0.77,2.56,43.37,1.59,4.54,-0.34,2.22,0.24,29.77
JQUA,21.13,21.13,9.47,14.46,,0.67,17.61,97.59,92.44,1.27,0.38,14.61,0.12,7.56
JVMIX,10.31,10.31,6.13,9.96,9.27,-5.16,22.25,90.77,113.40,0.00,0.13,16.57,0.87,23.93
LDLFX,5.18,5.18,1.91,1.95,2.38,0.44,3.95,44.89,13.41,4.87,-0.79,2.63,0.48,26.43
LSIIX,2.80,2.80,-0.67,1.87,2.51,2.12,7.00,98.28,84.44,4.95,-0.67,6.92,0.49,18.68
LUBFX,6.04,6.04,3.87,2.55,,0.36,1.37,27.38,-18.35,4.52,-0.09,1.10,0.38,8.62
MDIJX,6.41,6.41,0.29,4.59,6.49,0.57,17.55,103.85,102.38,0.00,-0.23,15.75,0.83,3.41
MEDIX,7.15,7.15,0.25,1.21,3.22,2.04,11.81,115.79,75.03,5.91,-0.34,11.02,0.81,16.93
MFEIX,31.67,31.67,7.26,14.96,15.11,0.19,21.02,112.46,106.30,0.00,0.17,19.19,0.58,23.18
MGLIX,-2.84,-2.84,-7.60,0.90,4.50,-10.50,21.82,85.93,151.08,0.00,-0.59,19.74,0.94,16.23
MHYIX,6.96,6.96,3.25,4.04,5.13,3.59,8.80,81.24,34.08,6.83,-0.12,6.10,0.71,12.26
MMHIX,4.55,4.55,-0.51,2.00,3.94,1.68,9.63,130.26,133.85,4.24,-0.46,9.84,0.63,15.18
MMUIX,11.66,11.66,3.28,5.97,6.38,-3.06,20.37,73.41,97.05,2.51,-0.04,18.47,0.75,11.09
MQGIX,9.10,9.10,2.07,6.15,7.85,2.15,17.77,112.76,108.34,0.00,-0.12,16.48,0.84,13.42
MQLIX,5.31,5.31,2.37,2.25,2.07,0.76,3.10,47.51,11.49,4.47,-0.62,2.59,0.43,8.33
MTALX,2.43,2.43,-0.61,0.85,2.12,0.03,7.27,99.42,103.34,3.88,-0.62,7.35,0.57,26.43
MTBIX,1.60,1.60,-0.93,1.15,2.58,0.27,6.90,99.47,101.65,3.76,-0.68,7.17,0.49,15.93
MTLIX,3.06,3.06,0.71,1.25,1.87,-0.38,4.00,61.42,42.21,3.58,-0.88,3.70,0.44,25.39
NEAR,5.04,5.04,4.20,2.86,2.31,0.88,2.78,37.29,-10.74,4.59,0.18,1.58,0.25,4.63
NXTG,12.73,12.73,3.11,11.23,10.10,1.10,18.96,91.85,95.82,2.15,-0.06,17.13,0.70,14.29
PCOXX,5.30,5.30,4.03,2.52,1.83,0.03,0.68,95.85,0.00,0.00,0.11,0.52,0.20,32.24
PEIYX,19.34,19.34,10.27,12.59,11.03,-0.89,18.27,85.88,87.22,1.52,0.46,13.66,0.63,12.76
PFPNX,10.64,10.64,0.53,2.53,,2.49,12.26,77.41,40.84,5.50,-0.32,10.70,1.23,10.14
PFTPX,7.03,7.03,3.22,3.32,4.09,2.22,5.44,65.95,16.46,5.14,-0.17,4.35,0.91,9.02
PGX,6.62,6.62,-2.65,0.37,3.32,1.94,15.31,123.92,136.51,6.34,-0.46,14.50,0.51,17.34
PMFYX,7.93,7.93,5.79,6.97,6.42,-1.30,12.25,73.72,49.67,7.20,0.20,8.97,0.66,13.45
PMOYX,10.56,10.56,8.12,3.09,,-0.66,8.25,33.26,-41.19,5.74,1.59,2.61,0.61,10.16
PONPX,5.31,5.31,1.94,2.79,4.17,2.51,6.95,93.75,54.12,5.15,-0.33,6.18,0.93,18.18
PRDGX,13.50,13.50,5.01,10.71,11.38,-2.28,16.73,80.61,86.59,1.03,0.08,13.47,0.64,25.18
PRFRX,8.74,8.74,6.64,5.23,4.65,3.50,7.68,47.93,-28.46,7.02,0.68,3.91,0.77,13.85
PRPFX,19.38,19.38,8.10,10.73,7.68,3.60,12.38,97.62,58.36,0.00,0.41,10.15,0.81,22.10
PRWCX,12.69,12.69,5.65,10.55,10.55,-0.27,13.82,101.10,83.27,1.90,0.15,11.14,0.71,18.93
PSYGX,23.28,23.28,3.06,13.14,12.30,-2.37,25.14,108.45,121.32,0.00,-0.05,18.87,0.96,8.17
QAI,6.68,6.68,2.51,2.51,2.18,-2.57,7.27,38.92,37.04,3.23,-0.27,6.12,0.91,14.26
QCLN,-18.83,-18.83,-20.17,6.92,7.76,-9.52,44.69,66.98,217.36,0.22,-0.68,35.77,0.59,18.32
QQQM,25.70,25.70,9.57,,,,,119.12,106.56,0.60,0.26,21.23,0.15,4.63
RRRRX,6.15,6.15,-4.67,3.34,5.67,-7.99,23.26,85.87,134.02,0.00,-0.42,20.58,0.63,20.68
RSP,12.77,12.77,4.25,10.56,10.11,-4.68,20.79,89.90,115.70,1.68,0.02,16.33,0.20,7.15
RWO,1.60,1.60,-5.38,-0.18,2.49,-12.13,23.53,85.85,137.35,3.42,-0.47,19.88,0.50,10.34
SCHD,11.60,11.60,4.14,11.03,11.03,-1.80,18.03,67.29,97.53,3.96,0.01,14.22,0.06,13.62
SCIEX,7.36,7.36,0.69,7.27,7.13,3.12,19.69,106.93,101.20,0.00,-0.19,17.62,0.79,15.26
SCZ,1.35,1.35,-3.40,2.14,5.38,-2.17,21.82,111.61,126.79,2.45,-0.41,17.89,0.40,12.50
SDY,8.45,8.45,3.43,7.14,8.88,-5.80,18.59,69.30,96.16,2.57,-0.04,14.48,0.35,10.59
SKYY,35.83,35.83,4.59,14.82,15.83,2.84,29.03,119.78,105.15,0.00,0.02,27.47,0.60,13.92
SPY,24.87,24.87,8.84,14.44,13.00,-0.04,18.73,99.69,99.96,1.18,0.31,15.80,0.09,32.38
SPYG,35.98,35.98,7.65,17.04,15.20,1.84,21.43,109.25,101.56,0.57,0.19,19.19,0.04,10.59
STWTX,1.72,1.72,-0.06,1.14,2.27,0.25,6.79,92.94,94.88,3.99,-0.50,8.12,0.49,13.67
SUB,2.03,2.03,0.97,1.07,1.15,-0.87,3.07,43.24,26.18,2.94,-1.18,2.54,0.07,13.93
TCAF,20.94,20.94,,,,,,0.00,0.00,0.65,,,0.31,1.96
TIBIX,15.27,15.27,7.80,8.47,7.35,4.59,17.34,108.34,71.82,3.31,0.31,12.29,0.93,22.45
TIQIX,9.20,9.20,3.96,7.66,7.72,3.50,19.22,119.08,104.59,0.00,0.00,17.13,0.90,4.48
TMCPX,8.47,8.47,5.27,8.64,10.13,-5.18,19.28,90.57,112.22,0.52,0.08,15.92,0.90,13.49
TSHIX,14.67,14.67,4.48,8.46,7.98,-2.10,13.64,89.48,83.36,4.23,0.05,9.98,0.72,11.25
TSWIX,3.54,3.54,2.11,5.17,5.08,0.88,20.63,113.04,113.94,2.07,-0.11,17.45,0.86,19.59
UIITX,2.91,2.91,-1.20,1.28,2.64,1.55,6.87,99.05,85.66,4.91,-0.74,7.01,0.57,11.50
VLIFX,7.62,7.62,5.93,11.32,12.73,-2.21,19.21,87.97,96.37,0.00,0.12,15.75,1.08,16.18
VTWO,11.57,11.57,1.28,7.46,7.86,-9.06,26.02,99.24,144.04,1.41,-0.13,20.62,0.07,3.87
VYM,17.60,17.60,7.65,9.74,9.77,-2.83,17.46,76.44,89.79,2.73,0.27,13.75,0.06,9.27
WINN,31.35,31.35,,,,,,120.66,103.24,0.00,,22.46,0.57,3.33
XLK,21.63,21.63,11.10,21.53,20.35,9.46,23.42,122.97,104.16,0.66,0.32,22.24,0.08,10.34
XMVM,11.61,11.61,6.04,11.22,9.43,-5.53,25.86,98.66,128.71,1.87,0.10,20.44,0.39,18.01
