Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
EIMAX,0.80,9.89,-0.92,0.35,1.67,-0.71,6.39,95.00,102.83,3.75,-0.67,6.93,0.61,15.28
ESIIX,5.39,11.55,3.83,4.57,3.73,3.39,5.75,72.69,17.30,6.66,0.02,4.52,1.21,11.59
FBKWX,3.09,12.20,-1.15,1.14,2.44,1.38,6.69,102.52,91.32,5.11,-0.66,7.35,0.36,20.51
FCDIX,15.21,39.01,4.12,12.75,10.52,-3.58,23.49,100.66,131.76,0.00,0.02,19.46,0.90,15.56
FCSZX,11.81,24.59,0.28,11.61,10.55,0.18,16.81,92.10,77.34,1.38,-0.29,11.91,0.58,22.93
FCVIX,7.57,29.73,3.83,11.98,9.32,-4.58,25.12,94.85,141.50,0.00,0.01,18.87,1.01,4.08
FDL,20.93,36.41,12.25,10.72,9.93,-2.93,19.76,72.24,89.27,4.48,0.57,14.90,0.45,19.24
FDN,17.71,43.60,-3.52,10.42,13.65,-2.59,27.64,127.21,99.18,0.00,-0.27,27.07,0.51,18.96
FDYZX,23.41,46.95,-0.03,15.23,15.26,-1.76,26.58,123.82,118.79,0.00,-0.15,25.45,0.54,57.45
FEHIX,11.63,17.55,4.02,4.80,4.09,3.48,8.29,101.78,55.52,5.34,0.04,6.61,0.91,1.41
FEQZX,16.14,29.18,,,,,,0.00,0.00,0.00,,,0.50,2.75
FGSIX,23.23,47.90,5.29,15.63,12.94,-1.50,24.34,124.26,111.13,0.00,0.07,21.20,0.85,12.42
FIDI,4.21,21.22,4.41,4.33,,-1.52,21.25,100.85,100.21,4.40,0.04,16.65,0.18,7.38
FIJYX,23.30,53.54,6.71,13.30,8.33,4.59,23.73,65.75,54.16,0.00,0.13,22.96,0.58,6.88
FIKAX,5.36,2.37,19.00,14.78,3.29,0.44,38.69,63.42,100.72,0.00,0.55,27.71,0.58,5.42
FIKCX,8.92,24.33,-0.75,8.88,8.61,-0.44,18.98,69.87,97.41,0.00,-0.26,17.07,0.56,16.65
FRIRX,8.94,20.64,1.24,3.77,5.48,-5.34,15.99,66.61,73.88,5.48,-0.25,9.78,0.70,6.25
FTGC,6.64,1.95,5.39,9.82,0.35,3.41,16.82,91.72,74.30,2.36,0.11,15.41,0.98,11.61
FZAEX,14.23,28.69,-0.84,6.70,5.95,0.87,21.43,87.76,93.66,0.00,-0.24,19.03,0.81,6.27
GACIX,10.36,31.82,7.03,12.26,9.23,-4.07,23.01,101.87,127.17,0.00,0.18,18.38,1.12,33.63
GLIFX,6.54,16.88,7.23,6.37,8.71,-2.29,15.92,69.77,67.50,0.00,0.26,13.44,0.97,15.42
GSINX,12.92,29.53,6.06,10.65,,5.67,16.95,91.11,82.54,0.00,0.15,15.11,0.88,8.46
GSMTX,2.99,11.54,0.48,1.69,2.80,0.65,7.00,91.94,81.36,4.06,-0.52,6.30,0.40,23.27
GSRTX,5.93,11.91,3.19,4.29,3.82,-1.51,7.35,41.85,38.96,0.00,-0.09,6.24,0.85,7.88
HLGEX,10.08,31.02,-1.40,11.89,11.28,-4.01,23.30,102.02,117.24,0.00,-0.25,20.24,0.84,9.42
HYD,4.61,14.41,-1.74,-0.23,2.56,-0.67,13.26,103.23,118.05,4.57,-0.65,8.37,0.32,2.50
IHDG,6.75,18.95,5.46,9.85,9.45,4.95,16.09,81.44,76.76,2.14,0.11,13.78,0.58,4.60
IJH,12.70,32.47,4.91,11.17,9.72,-5.50,23.39,98.15,128.80,1.59,0.06,18.21,0.05,12.84
ISHYX,5.92,12.21,0.62,1.33,,0.05,6.54,70.54,56.49,4.55,-0.63,4.97,0.64,9.67
ITM,0.17,8.74,-1.13,0.42,2.02,-0.48,8.33,99.57,100.59,3.51,-0.68,7.12,0.18,2.50
IVVIX,13.17,34.89,4.02,9.43,8.99,-6.62,22.99,97.14,127.66,0.00,0.02,18.19,0.89,3.54
IWB,20.19,37.91,7.98,14.84,12.61,-0.64,19.30,100.64,102.52,1.19,0.26,16.39,0.15,12.84
IWD,15.22,30.74,6.66,10.00,8.71,-4.60,19.25,84.42,105.04,1.93,0.20,14.79,0.19,12.84
IWF,23.95,43.66,8.69,18.80,15.98,2.36,22.00,114.78,100.51,0.48,0.24,20.36,0.19,12.84
IWM,9.41,33.88,-0.16,8.39,7.88,-8.71,25.85,98.88,144.28,1.40,-0.19,20.93,0.19,12.84
IWN,7.23,31.36,1.70,8.19,7.16,-8.89,26.63,91.07,146.80,2.27,-0.10,20.63,0.24,12.84
IWO,11.64,36.40,-2.34,7.85,8.15,-9.31,26.79,106.14,141.47,0.50,-0.27,22.38,0.24,12.84
IWP,14.67,38.37,0.42,-3.22,3.26,-5.34,23.90,113.40,112.81,0.41,-0.16,21.10,0.23,12.84
IWR,13.85,35.17,3.39,10.77,9.53,-5.71,22.11,97.72,122.72,1.49,-0.02,17.98,0.19,12.84
IWS,13.44,33.76,4.90,9.72,8.22,-6.84,22.70,90.69,126.98,1.85,0.07,17.38,0.23,12.84
IYGIX,19.73,37.09,7.84,17.24,15.24,1.26,20.62,108.09,102.99,0.00,0.21,19.14,0.64,8.84
JDJIX,0.00,-4.79,4.04,1.84,,-0.94,10.26,-6.81,-2.37,0.00,0.03,11.16,1.36,5.84
JEPI,12.57,20.22,7.46,,,,9.66,58.30,60.52,11.38,0.35,10.48,0.35,5.03
JHEQX,16.27,24.13,8.02,10.51,8.45,2.69,10.05,59.88,48.80,0.00,0.47,9.22,0.58,11.47
JHMM,13.97,34.62,4.07,11.10,,-5.21,22.03,95.92,126.28,0.00,0.02,17.60,0.42,6.75
JIGFX,7.84,19.34,2.78,9.24,4.76,3.30,20.22,98.94,100.42,0.00,-0.06,16.37,0.90,7.42
JMSIX,6.78,12.73,1.63,2.46,3.65,1.76,7.76,75.22,40.40,6.49,-0.41,5.11,0.40,11.00
JPLD,5.27,8.34,2.88,2.36,2.20,0.72,2.55,43.37,1.59,4.54,-0.35,2.24,0.24,29.77
JQUA,17.83,34.23,10.31,15.14,,0.72,17.64,97.59,92.44,1.27,0.44,14.94,0.12,7.56
JVMIX,10.71,28.82,7.35,11.32,9.70,-4.41,22.21,90.77,113.40,0.00,0.22,16.50,0.87,23.93
LDLFX,4.56,7.65,1.67,1.94,2.27,0.48,3.95,44.89,13.41,4.87,-0.78,2.65,0.48,26.43
LSIIX,3.33,12.63,-0.56,2.03,2.55,2.18,6.99,98.28,84.44,4.95,-0.62,6.90,0.49,18.68
LUBFX,5.09,6.58,3.56,2.44,,0.33,1.36,27.38,-18.35,4.52,-0.15,1.13,0.38,8.62
MDIJX,9.68,23.15,1.28,6.42,6.51,0.82,17.56,103.85,102.38,0.00,-0.16,15.77,0.83,3.41
MEDIX,7.29,18.91,0.07,1.63,2.89,2.36,11.83,115.79,75.03,5.91,-0.33,11.10,0.81,16.93
MFEIX,24.82,41.79,5.62,15.24,14.74,-0.34,21.11,112.46,106.30,0.00,0.09,20.06,0.58,23.18
MGLIX,2.84,25.87,-3.93,2.03,5.18,-10.14,21.74,85.93,151.08,0.00,-0.39,19.83,0.94,16.23
MHYIX,6.30,13.16,3.28,4.38,4.85,3.89,8.81,81.24,34.08,6.83,-0.07,6.17,0.71,12.26
MMHIX,4.51,17.48,0.00,2.15,4.12,1.70,9.63,130.26,133.85,4.24,-0.38,9.82,0.63,15.18
MMUIX,17.19,29.35,6.71,7.37,6.73,-2.13,20.31,73.41,97.05,2.51,0.16,18.26,0.75,11.09
MQGIX,12.61,27.52,3.38,7.99,7.97,2.44,17.76,112.76,108.34,0.00,-0.02,16.52,0.84,13.42
MQLIX,4.55,7.74,2.02,2.16,1.99,0.71,3.10,47.51,11.49,4.47,-0.65,2.63,0.43,8.33
MTALX,2.22,12.27,-0.37,0.88,2.19,-0.01,7.28,99.42,103.34,3.88,-0.56,7.35,0.57,26.43
MTBIX,1.28,10.50,-0.62,1.19,2.63,0.23,6.90,99.47,101.65,3.76,-0.61,7.17,0.49,15.93
MTLIX,2.79,7.17,0.74,1.29,1.83,-0.32,4.00,61.42,42.21,3.58,-0.80,3.74,0.44,25.39
NEAR,4.35,7.10,3.95,2.80,2.24,0.88,2.77,37.29,-10.74,4.59,0.15,1.58,0.25,4.63
NXTG,11.30,31.33,5.59,12.18,10.08,1.20,18.99,91.85,95.82,2.15,0.10,17.34,0.70,14.29
PCOXX,4.50,5.45,3.77,2.42,1.75,0.04,0.68,95.85,0.00,0.00,0.07,0.59,0.20,32.24
PEIYX,20.98,35.74,11.30,14.35,11.42,0.32,18.27,85.88,87.22,1.52,0.56,13.55,0.63,12.76
PFPNX,10.17,20.44,0.39,2.93,,2.85,12.28,77.41,40.84,5.50,-0.31,10.74,1.23,10.14
PFTPX,5.84,10.59,3.00,3.40,3.56,2.30,5.43,65.95,16.46,5.14,-0.17,4.35,0.91,9.02
PGX,10.73,24.67,-1.39,1.32,3.86,2.71,15.27,123.92,136.51,6.34,-0.36,14.49,0.51,17.34
PMFYX,9.31,15.05,6.54,7.96,6.27,-0.66,12.26,73.72,49.67,7.20,0.31,9.07,0.66,13.45
PMOYX,8.53,10.92,7.24,3.16,,-0.72,8.22,33.26,-41.19,5.74,1.30,2.69,0.61,10.16
PONPX,4.64,12.17,1.91,3.02,4.00,2.69,6.94,93.75,54.12,5.15,-0.29,6.17,0.93,18.18
PRDGX,13.77,27.16,6.62,12.03,11.79,-1.49,16.75,80.61,86.59,1.03,0.21,13.63,0.64,25.18
PRFRX,7.16,10.53,6.27,5.27,4.46,3.59,7.69,47.93,-28.46,7.02,0.65,3.91,0.77,13.85
PRPFX,20.63,29.48,8.96,11.74,7.68,4.10,12.35,97.62,58.36,0.00,0.51,10.22,0.81,22.10
PRWCX,11.29,23.37,5.66,11.22,10.62,-0.10,13.88,101.10,83.27,1.90,0.17,11.35,0.71,18.93
PSYGX,24.44,48.02,2.24,14.81,12.82,-1.24,25.01,108.45,121.32,0.00,-0.07,20.41,0.96,8.17
QAI,5.96,11.91,1.94,2.82,2.09,-2.53,7.26,38.92,37.04,3.23,-0.30,6.22,0.91,14.26
QCLN,-20.74,-0.19,-24.15,9.23,6.90,-8.72,44.95,66.98,217.36,0.22,-0.75,37.17,0.59,18.32
QQQM,18.85,38.99,8.63,,,,,119.12,106.56,0.60,0.22,21.86,0.15,4.63
RRRRX,11.90,33.06,-0.17,3.86,6.67,-8.17,23.23,85.87,134.02,0.00,-0.19,20.85,0.63,20.68
RSP,13.08,31.83,5.54,11.97,10.48,-3.95,20.80,89.90,115.70,1.68,0.11,16.37,0.20,7.15
RWO,6.10,28.83,-2.30,0.52,3.08,-12.34,23.50,85.85,137.35,3.42,-0.31,19.95,0.50,10.34
SCHD,14.27,29.15,6.73,12.70,11.51,-0.65,18.03,67.29,97.53,3.96,0.21,14.21,0.06,13.62
SCIEX,9.49,25.33,1.06,9.15,7.05,3.27,19.73,106.93,101.20,0.00,-0.15,17.70,0.79,15.26
SCZ,3.92,21.86,-3.13,3.96,5.59,-2.24,21.86,111.61,126.79,2.45,-0.39,18.06,0.40,12.50
SDY,12.62,26.59,6.61,8.79,9.66,-4.65,18.53,69.30,96.16,2.57,0.20,14.41,0.35,10.59
SKYY,20.05,43.93,-2.30,13.13,14.82,0.45,28.58,119.78,105.15,0.00,-0.22,27.55,0.60,13.92
SPY,20.85,37.82,8.99,15.19,12.90,-0.07,18.81,99.69,99.96,1.18,0.33,16.10,0.09,32.38
SPYG,27.28,43.56,6.66,16.96,14.67,0.82,21.50,109.25,101.56,0.57,0.15,19.78,0.04,10.59
STWTX,1.73,13.87,0.01,1.18,2.33,0.22,6.75,92.94,94.88,3.99,-0.46,8.08,0.49,13.67
SUB,1.77,4.58,0.92,1.09,1.11,-0.86,3.07,43.24,26.18,2.94,-1.11,2.59,0.07,13.93
TCAF,18.57,34.43,,,,,,0.00,0.00,0.65,,,0.31,1.96
TIBIX,13.59,25.37,8.63,8.87,7.05,3.56,17.38,108.34,71.82,3.31,0.40,12.31,0.93,22.45
TIQIX,10.85,30.83,4.63,9.28,8.33,3.39,19.28,119.08,104.59,0.00,0.05,17.29,0.90,4.48
TMCPX,8.92,29.33,6.74,9.50,10.57,-4.77,19.25,90.57,112.22,0.52,0.19,15.96,0.90,13.49
TSHIX,13.08,24.13,5.02,8.82,7.89,-2.25,13.68,89.48,83.36,4.23,0.13,10.07,0.72,11.25
TSWIX,5.65,24.59,3.20,6.68,5.04,0.53,20.67,113.04,113.94,2.07,-0.03,17.49,0.86,19.59
UIITX,3.37,11.67,-0.99,1.44,2.69,1.62,6.87,99.05,85.66,4.91,-0.67,7.02,0.57,11.50
VLIFX,10.42,30.11,8.47,12.76,13.17,-1.30,19.22,87.97,96.37,0.00,0.29,16.10,1.08,16.18
VTWO,9.59,34.09,-0.01,8.56,7.98,-8.54,25.82,99.24,144.04,1.41,-0.18,20.92,0.07,3.87
VYM,16.92,31.15,8.95,10.79,9.90,-2.32,17.52,76.44,89.79,2.73,0.38,13.80,0.06,9.27
WINN,23.80,45.57,,,,,,120.66,103.24,0.00,,23.00,0.57,3.33
XLK,16.13,36.55,12.18,22.74,20.08,9.59,23.63,122.97,104.16,0.66,0.37,22.81,0.08,10.34
XMVM,11.53,29.71,7.68,12.49,9.74,-4.76,25.68,98.66,128.71,1.87,0.20,20.04,0.39,18.01
