Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
EGIIX,24.42,37.51,9.33,15.26,10.20,8.73,20.21,56.63,18.97,0.00,0.40,14.53,1.23,8.07
EIHIX,6.14,11.68,4.02,5.20,4.87,4.86,10.28,94.32,40.07,6.25,0.08,7.02,0.65,10.58
EIHMX,2.17,7.25,-0.13,1.36,3.09,0.48,7.04,102.78,103.18,4.00,-0.48,7.43,0.46,11.84
EIMAX,1.34,5.49,-1.07,0.29,1.84,-0.74,6.37,95.00,102.83,3.75,-0.66,6.89,0.61,15.28
ESIIX,5.88,10.00,3.87,4.85,3.84,3.61,5.71,72.69,17.30,6.66,0.09,4.41,1.21,11.59
FBKWX,3.96,8.51,-1.11,1.32,2.54,1.37,6.61,102.52,91.32,5.11,-0.63,7.25,0.36,20.51
FCDIX,16.43,24.16,5.81,13.80,10.48,-3.23,23.52,100.66,131.76,0.00,0.12,19.80,0.90,15.56
FCSZX,7.28,12.03,-0.57,10.46,9.85,-1.40,16.78,92.10,77.34,1.38,-0.34,11.88,0.58,22.93
FCVIX,10.76,20.06,5.96,14.03,9.59,-3.26,25.13,94.85,141.50,0.00,0.13,19.10,1.01,4.08
FDL,18.50,25.24,11.51,11.69,9.87,-2.52,19.79,72.24,89.27,4.48,0.54,14.88,0.45,19.24
FDN,8.85,19.71,-6.63,8.14,12.58,-6.12,27.46,127.21,99.18,0.00,-0.38,26.83,0.51,18.96
FDYZX,21.85,30.63,-0.20,14.40,15.34,-3.32,26.52,123.82,118.79,0.00,-0.14,25.67,0.54,57.45
FEHIX,11.32,14.91,3.88,4.67,3.89,3.38,8.27,101.78,55.52,5.34,0.06,6.57,0.91,1.41
FEQZX,15.51,22.16,,,,,,0.00,0.00,0.00,,,0.50,2.75
FGSIX,15.41,27.03,3.61,13.55,12.11,-4.36,24.18,124.26,111.13,0.00,0.01,21.26,0.85,12.42
FIDI,7.82,17.03,6.71,6.88,,-0.89,21.24,100.85,100.21,4.40,0.19,16.66,0.18,7.38
FIJYX,22.03,37.55,4.96,13.83,8.94,4.40,24.19,65.75,54.16,0.00,0.06,23.29,0.58,6.88
FIKAX,10.36,4.72,29.24,16.05,2.31,0.34,38.63,63.42,100.72,0.00,0.90,28.80,0.58,5.42
FIKCX,13.17,17.18,0.69,10.32,9.51,0.28,19.44,69.87,97.41,0.00,-0.16,17.36,0.56,16.65
FRIRX,8.27,13.83,1.19,4.16,5.50,-5.68,15.96,66.61,73.88,5.48,-0.23,9.70,0.70,6.25
FTGC,4.05,-2.59,6.52,10.01,-0.84,3.36,16.74,91.72,74.30,2.36,0.19,15.59,0.98,11.61
FZAEX,10.51,16.14,-2.78,6.89,5.23,-0.72,21.16,87.76,93.66,0.00,-0.34,18.21,0.81,6.27
GACIX,10.64,18.70,7.73,13.38,9.20,-3.65,23.02,101.87,127.17,0.00,0.23,18.63,1.12,33.63
GLIFX,8.08,15.47,8.14,7.55,9.01,-1.76,15.95,69.77,67.50,0.00,0.35,13.42,0.97,15.42
GSINX,19.40,31.30,8.02,12.63,,6.28,16.91,91.11,82.54,0.00,0.30,15.42,0.88,8.46
GSMTX,3.11,7.53,0.16,1.69,2.91,0.67,6.99,91.94,81.36,4.06,-0.52,6.29,0.40,23.27
GSRTX,6.03,9.36,3.32,4.51,3.77,-1.61,7.30,41.85,38.96,0.00,-0.02,6.24,0.85,7.88
HLGEX,6.99,14.33,-1.65,11.29,10.98,-5.32,23.34,102.02,117.24,0.00,-0.25,20.47,0.84,9.42
HYD,4.54,8.12,-2.34,-0.28,2.71,-0.80,13.24,103.23,118.05,4.57,-0.70,8.37,0.32,2.50
IHDG,11.55,17.87,6.35,11.77,9.78,5.65,16.14,81.44,76.76,2.14,0.21,13.92,0.58,4.60
IJH,12.21,17.85,5.33,11.99,9.55,-5.40,23.39,98.15,128.80,1.59,0.10,18.51,0.05,12.84
ISHYX,5.45,8.48,0.29,1.25,,0.01,6.53,70.54,56.49,4.55,-0.64,4.96,0.64,9.67
ITM,0.75,5.16,-1.39,0.33,2.14,-0.59,8.32,99.57,100.59,3.51,-0.69,7.11,0.18,2.50
IVVIX,11.86,19.70,4.54,8.67,8.57,-8.06,22.97,97.14,127.66,0.00,0.06,18.42,0.89,3.54
IWB,18.53,26.45,8.20,15.40,12.52,-0.73,19.30,100.64,102.52,1.19,0.29,16.55,0.15,12.84
IWD,14.95,20.93,7.07,11.02,8.70,-4.17,19.26,84.42,105.04,1.93,0.24,14.85,0.19,12.84
IWF,20.97,30.65,8.72,18.88,15.83,1.75,21.98,114.78,100.51,0.48,0.25,20.65,0.19,12.84
IWM,10.26,18.32,0.48,9.57,7.99,-8.30,25.90,98.88,144.28,1.40,-0.14,21.29,0.19,12.84
IWN,8.90,18.92,2.80,10.14,7.30,-7.73,26.68,91.07,146.80,2.27,-0.03,20.94,0.24,12.84
IWO,11.67,17.60,-2.12,8.28,8.22,-9.63,26.85,106.14,141.47,0.50,-0.25,22.80,0.24,12.84
IWP,9.12,18.82,-0.64,-4.07,2.71,-7.03,23.82,113.40,112.81,0.41,-0.19,21.18,0.23,12.84
IWR,12.02,19.96,3.37,11.07,9.31,-6.14,22.09,97.72,122.72,1.49,-0.01,18.12,0.19,12.84
IWS,12.80,19.94,5.20,10.58,8.10,-6.66,22.70,90.69,126.98,1.85,0.10,17.50,0.23,12.84
IYGIX,18.94,27.07,8.20,17.34,15.35,0.67,20.62,108.09,102.99,0.00,0.24,19.43,0.64,8.84
JDJIX,1.69,-1.76,4.59,1.94,,-0.70,10.28,-6.81,-2.37,0.00,0.10,11.21,1.36,5.84
JEPI,11.35,14.09,7.17,,,,9.75,58.30,60.52,11.38,0.35,10.45,0.35,5.03
JHEQX,14.11,15.01,7.50,10.77,8.34,2.74,10.00,59.88,48.80,0.00,0.44,9.11,0.58,11.47
JHMM,12.47,19.43,4.20,11.59,,-5.43,22.02,95.92,126.28,0.00,0.04,17.73,0.42,6.75
JIGFX,13.66,17.89,5.00,12.28,4.29,4.42,20.35,98.94,100.42,0.00,0.09,16.49,0.90,7.42
JMSIX,6.09,10.41,1.31,2.46,3.54,1.69,7.75,75.22,40.40,6.49,-0.42,5.07,0.40,11.00
JPLD,4.93,7.99,2.67,2.35,2.19,0.70,2.52,43.37,1.59,4.54,-0.34,2.21,0.24,29.77
JQUA,17.17,24.71,10.48,15.61,,0.62,17.62,97.59,92.44,1.27,0.46,15.13,0.12,7.56
JVMIX,11.03,19.39,8.03,12.05,9.75,-4.34,22.22,90.77,113.40,0.00,0.28,16.61,0.87,23.93
LDLFX,3.95,6.76,1.44,1.90,2.21,0.44,3.93,44.89,13.41,4.87,-0.77,2.60,0.48,26.43
LSIIX,4.38,9.53,-0.38,2.19,2.48,2.16,6.90,98.28,84.44,4.95,-0.57,6.75,0.49,18.68
LUBFX,4.21,6.44,3.23,2.34,,0.31,1.35,27.38,-18.35,4.52,-0.19,1.16,0.38,8.62
MDIJX,12.47,17.34,1.81,8.06,6.40,0.79,17.56,103.85,102.38,0.00,-0.10,15.75,0.83,3.41
MEDIX,7.11,14.24,-0.67,1.73,2.82,2.24,11.80,115.79,75.03,5.91,-0.37,11.08,0.81,16.93
MFEIX,23.66,32.05,5.64,15.14,14.77,-1.09,21.11,112.46,106.30,0.00,0.11,20.27,0.58,23.18
MGLIX,5.85,15.09,-3.16,3.52,5.49,-9.70,21.60,85.93,151.08,0.00,-0.33,19.78,0.94,16.23
MHYIX,5.68,10.75,3.08,4.42,4.68,3.86,8.81,81.24,34.08,6.83,-0.06,6.17,0.71,12.26
MMHIX,4.65,10.94,-0.34,2.13,4.33,1.67,9.61,130.26,133.85,4.24,-0.39,9.82,0.63,15.18
MMUIX,14.03,18.50,5.42,7.46,6.28,-2.76,20.18,73.41,97.05,2.51,0.11,18.15,0.75,11.09
MQGIX,13.64,17.76,3.59,9.14,7.61,1.95,17.72,112.76,108.34,0.00,0.01,16.51,0.84,13.42
MQLIX,4.15,7.28,1.80,2.15,1.95,0.69,3.07,47.51,11.49,4.47,-0.64,2.60,0.43,8.33
MTALX,2.56,7.67,-0.58,0.79,2.33,-0.08,7.27,99.42,103.34,3.88,-0.55,7.34,0.57,26.43
MTBIX,1.72,6.52,-0.79,1.15,2.83,0.22,6.89,99.47,101.65,3.76,-0.59,7.15,0.49,15.93
MTLIX,2.76,5.83,0.48,1.22,1.87,-0.34,3.99,61.42,42.21,3.58,-0.80,3.72,0.44,25.39
NEAR,4.02,7.67,3.82,2.83,2.22,0.94,2.73,37.29,-10.74,4.59,0.25,1.53,0.25,4.63
NXTG,12.79,24.55,5.12,14.03,9.91,2.06,18.99,91.85,95.82,2.15,0.09,17.41,0.70,14.29
PCOXX,3.63,5.52,3.48,2.32,1.67,0.03,0.66,95.85,0.00,0.00,0.05,0.63,0.20,32.24
PEIYX,21.20,29.57,12.27,15.67,11.50,1.05,18.33,85.88,87.22,1.52,0.64,13.74,0.63,12.76
PFPNX,8.78,16.64,-0.19,3.25,,3.04,12.27,77.41,40.84,5.50,-0.34,10.69,1.23,10.14
PFTPX,5.52,8.76,2.85,3.56,3.36,2.42,5.42,65.95,16.46,5.14,-0.14,4.33,0.91,9.02
PGX,8.65,13.61,-1.87,1.16,3.74,2.26,15.13,123.92,136.51,6.34,-0.37,14.24,0.51,17.34
PMFYX,10.14,14.32,7.10,9.04,6.08,0.16,12.29,73.72,49.67,7.20,0.40,9.13,0.66,13.45
PMOYX,7.40,10.71,6.82,3.21,,-0.80,8.23,33.26,-41.19,5.74,1.25,2.71,0.61,10.16
PONPX,4.96,9.56,1.87,3.39,4.07,2.92,6.91,93.75,54.12,5.15,-0.26,6.11,0.93,18.18
PRDGX,16.25,23.00,8.02,12.91,12.23,-1.11,16.76,80.61,86.59,1.03,0.33,13.81,0.64,25.18
PRFRX,5.79,9.75,6.13,5.08,4.29,3.45,7.69,47.93,-28.46,7.02,0.68,3.92,0.77,13.85
PRPFX,14.74,19.69,6.94,10.77,6.66,2.50,12.24,97.62,58.36,0.00,0.35,10.07,0.81,22.10
PRWCX,10.82,16.38,6.29,11.45,10.75,-0.26,13.89,101.10,83.27,1.90,0.25,11.43,0.71,18.93
PSYGX,24.54,30.23,4.16,14.22,12.85,-2.49,24.99,108.45,121.32,0.00,0.03,20.88,0.96,8.17
QAI,4.86,8.52,1.43,2.89,1.87,-2.72,7.23,38.92,37.04,3.23,-0.32,6.17,0.91,14.26
QCLN,-15.96,-25.32,-18.82,11.33,6.09,-8.33,44.98,66.98,217.36,0.22,-0.56,39.94,0.59,18.32
QQQM,16.85,27.13,8.66,,,,,119.12,106.56,0.60,0.23,22.21,0.15,4.63
RRRRX,11.53,21.25,-0.01,4.73,7.04,-8.38,23.15,85.87,134.02,0.00,-0.17,20.94,0.63,20.68
RSP,12.37,19.23,5.77,12.79,10.48,-3.77,20.80,89.90,115.70,1.68,0.14,16.44,0.20,7.15
RWO,8.50,17.73,-1.51,1.91,3.38,-12.11,23.35,85.85,137.35,3.42,-0.26,19.87,0.50,10.34
SCHD,13.07,17.72,6.55,13.57,11.59,-0.31,18.05,67.29,97.53,3.96,0.22,14.25,0.06,13.62
SCIEX,13.87,21.52,2.63,11.39,7.01,3.65,19.83,106.93,101.20,0.00,-0.05,17.88,0.79,15.26
SCZ,8.39,15.18,-2.36,6.32,5.29,-1.97,21.83,111.61,126.79,2.45,-0.33,18.07,0.40,12.50
SDY,13.46,17.52,6.74,10.15,10.03,-3.82,18.53,69.30,96.16,2.57,0.23,14.50,0.35,10.59
SKYY,11.82,22.08,-3.35,11.46,13.79,-2.46,28.46,119.78,105.15,0.00,-0.25,27.67,0.60,13.92
SPY,19.43,26.97,9.29,15.83,12.88,-0.04,18.82,99.69,99.96,1.18,0.36,16.27,0.09,32.38
SPYG,24.57,30.43,6.87,16.92,14.63,0.12,21.45,109.25,101.56,0.57,0.17,20.14,0.04,10.59
STWTX,1.74,6.89,-0.27,1.13,2.39,0.18,6.72,92.94,94.88,3.99,-0.46,8.04,0.49,13.67
SUB,1.83,4.05,0.83,1.10,1.11,-0.78,3.06,43.24,26.18,2.94,-1.07,2.57,0.07,13.93
TCAF,18.24,25.95,,,,,,0.00,0.00,0.65,,,0.31,1.96
TIBIX,15.34,23.08,9.65,10.30,6.89,3.42,17.39,108.34,71.82,3.31,0.50,12.36,0.93,22.45
TIQIX,14.33,24.85,4.97,10.95,8.45,3.20,19.30,119.08,104.59,0.00,0.09,17.36,0.90,4.48
TMCPX,8.88,16.27,7.09,10.86,10.57,-4.00,19.25,90.57,112.22,0.52,0.23,16.15,0.90,13.49
TSHIX,11.72,16.78,4.84,9.38,7.66,-2.10,13.67,89.48,83.36,4.23,0.14,10.09,0.72,11.25
TSWIX,10.86,21.27,4.64,9.50,5.00,1.33,20.66,113.04,113.94,2.07,0.07,17.52,0.86,19.59
UIITX,4.40,8.48,-0.97,1.65,2.78,1.65,6.79,99.05,85.66,4.91,-0.64,6.89,0.57,11.50
VLIFX,14.21,23.92,9.76,13.39,13.76,-1.17,19.20,87.97,96.37,0.00,0.39,16.32,1.08,16.18
VTWO,10.42,18.50,0.64,9.74,8.08,-8.11,25.87,99.24,144.04,1.41,-0.13,21.28,0.07,3.87
VYM,15.79,22.10,9.15,11.63,9.94,-2.00,17.50,76.44,89.79,2.73,0.41,13.83,0.06,9.27
WINN,21.58,33.19,,,,,,120.66,103.24,0.00,,23.61,0.57,3.33
XLK,14.91,26.50,12.49,23.79,20.08,9.46,23.62,122.97,104.16,0.66,0.39,23.02,0.08,10.34
XMVM,11.95,18.96,7.76,14.86,9.49,-3.30,25.75,98.66,128.71,1.87,0.21,20.22,0.39,18.01
