Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
IYGIX,-1.35,13.78,12.47,17.22,14.63,-0.59,17.48,108.09,102.99,0.00,0.46,17.91,0.64,8.84
JDJIX,3.21,-2.80,5.53,4.77,,2.07,9.37,-6.81,-2.37,0.00,0.13,10.30,1.36,5.84
JEPI,3.88,12.20,9.19,,,,9.55,58.30,60.52,11.38,0.48,10.25,0.35,5.03
JHEQX,0.94,13.86,9.88,11.31,8.29,2.68,7.77,59.88,48.80,0.00,0.63,8.97,0.58,11.47
JHMM,0.91,11.27,6.46,12.53,,-5.77,16.96,95.92,126.28,0.00,0.13,17.64,0.42,6.75
JIGFX,6.77,9.79,5.93,11.05,6.04,3.24,15.95,98.94,100.42,0.00,0.11,15.84,0.90,7.42
JMSIX,1.95,9.12,3.19,2.56,3.82,1.97,4.71,75.22,40.40,6.49,-0.21,4.98,0.40,11.00
JPLD,1.47,6.78,3.97,2.52,2.38,0.80,1.93,43.37,1.59,4.54,-0.10,2.05,0.24,29.77
JQUA,3.71,16.42,14.48,17.19,,1.08,13.70,97.59,92.44,1.27,0.72,14.38,0.12,7.56
JVMIX,2.15,8.22,7.34,13.31,9.04,-4.14,16.60,90.77,113.40,0.00,0.19,16.65,0.87,23.93
LDLFX,1.36,6.29,2.81,2.02,2.42,0.53,2.43,44.89,13.41,4.87,-0.58,2.41,0.48,26.43
LSIIX,2.62,6.45,1.25,1.74,2.75,2.18,6.01,98.28,84.44,4.95,-0.43,6.82,0.49,18.68
LUBFX,0.88,5.87,4.32,2.67,,0.43,1.04,27.38,-18.35,4.52,0.12,0.93,0.38,8.62
MDIJX,5.91,11.85,5.08,7.81,6.46,0.49,14.53,103.85,102.38,0.00,0.06,15.30,0.83,3.41
MEDIX,2.73,9.62,3.89,1.58,3.30,2.73,9.68,115.79,75.03,5.91,-0.03,10.39,0.81,16.93
MFEIX,-0.59,15.59,12.82,15.44,14.51,-2.06,18.28,112.46,106.30,0.00,0.46,18.54,0.58,23.18
MGLIX,2.24,3.12,-3.55,2.51,4.39,-11.85,17.76,85.93,151.08,0.00,-0.39,19.79,0.94,16.23
MHYIX,1.77,8.47,4.76,4.76,5.04,4.53,5.74,81.24,34.08,6.83,0.09,5.94,0.71,12.26
MMHIX,1.61,5.16,1.27,1.47,3.95,1.65,8.33,130.26,133.85,4.24,-0.31,9.62,0.63,15.18
MMUIX,0.89,19.40,4.78,6.93,6.36,-4.14,16.51,73.41,97.05,2.51,0.03,18.17,0.75,11.09
MQGIX,6.81,13.40,7.61,9.53,7.92,2.26,15.01,112.76,108.34,0.00,0.21,16.12,0.84,13.42
MQLIX,1.24,6.44,3.19,2.22,2.16,0.73,2.30,47.51,11.49,4.47,-0.43,2.39,0.43,8.33
MTALX,1.10,3.57,0.73,0.34,2.17,-0.12,6.15,99.42,103.34,3.88,-0.48,7.17,0.57,26.43
MTBIX,1.26,3.12,0.66,0.68,2.62,0.14,6.07,99.47,101.65,3.76,-0.51,6.91,0.49,15.93
MTLIX,1.42,4.14,1.97,1.13,1.94,-0.36,3.18,61.42,42.21,3.58,-0.64,3.48,0.44,25.39
NEAR,1.19,5.99,4.74,3.00,2.41,0.99,1.44,37.29,-10.74,4.59,0.40,1.48,0.25,4.63
NXTG,2.58,14.00,7.14,13.32,9.59,0.84,15.94,91.85,95.82,2.15,0.17,16.78,0.70,14.29
PCOXX,0.71,5.11,4.28,2.60,1.90,0.03,0.69,95.85,0.00,0.00,0.16,0.44,0.20,32.24
PEIYX,5.19,18.65,12.96,16.42,11.35,0.99,13.46,85.88,87.22,1.52,0.64,13.75,0.63,12.76
PFPNX,2.05,10.90,2.84,3.02,,3.23,9.06,77.41,40.84,5.50,-0.13,10.45,1.23,10.14
PFTPX,2.56,8.62,4.92,3.90,4.18,2.93,3.85,65.95,16.46,5.14,0.18,4.03,0.91,9.02
PGX,2.12,3.77,0.75,1.37,3.29,3.53,12.08,123.92,136.51,6.34,-0.25,14.13,0.51,17.34
PMFYX,4.74,11.64,7.45,9.05,6.48,-0.33,9.08,73.72,49.67,7.20,0.37,8.67,0.66,13.45
PMOYX,2.63,10.64,8.08,3.48,,-0.91,4.57,33.26,-41.19,5.74,1.46,2.65,0.61,10.16
PONPX,3.03,8.43,4.17,3.35,4.35,3.29,5.35,93.75,54.12,5.15,-0.01,5.90,0.93,18.18
PRDGX,5.59,13.85,9.83,13.79,11.67,-1.14,12.76,80.61,86.59,1.03,0.42,13.34,0.64,25.18
PRFRX,0.83,8.12,7.06,5.65,4.57,3.96,3.58,47.93,-28.46,7.02,0.76,3.75,0.77,13.85
PRPFX,4.88,23.61,10.45,12.57,7.93,3.66,10.00,97.62,58.36,0.00,0.61,10.30,0.81,22.10
PRWCX,1.96,11.29,8.05,11.66,10.42,-0.93,10.40,101.10,83.27,1.90,0.35,10.98,0.71,18.93
PSYGX,-4.44,4.56,7.08,12.73,11.37,-5.85,21.23,108.45,121.32,0.00,0.15,19.06,0.96,8.17
QAI,1.01,6.63,3.68,3.14,2.06,-3.04,5.64,38.92,37.04,3.23,-0.09,6.01,0.91,14.26
QCLN,-10.51,-12.97,-19.67,3.43,5.87,-18.35,41.75,66.98,217.36,0.22,-0.68,35.02,0.59,18.32
QQQM,-0.52,16.45,14.42,,,,,119.12,106.56,0.60,0.49,20.60,0.15,4.63
RRRRX,4.57,13.00,1.46,5.75,5.84,-8.37,19.04,85.87,134.02,0.00,-0.13,20.46,0.63,20.68
RSP,2.84,12.29,7.11,13.72,10.12,-3.98,15.80,89.90,115.70,1.68,0.18,16.32,0.20,7.15
RWO,4.83,11.25,-0.99,2.50,2.55,-12.60,18.38,85.85,137.35,3.42,-0.26,19.91,0.50,10.34
SCHD,4.48,14.28,7.35,14.66,11.30,0.11,14.15,67.29,97.53,3.96,0.22,14.12,0.06,13.62
SCIEX,6.81,11.26,5.61,10.59,7.17,2.83,16.76,106.93,101.20,0.00,0.08,17.15,0.79,15.26
SCZ,3.88,6.56,0.79,5.68,5.09,-2.54,17.19,111.61,126.79,2.45,-0.19,17.66,0.40,12.50
SDY,4.76,12.78,6.19,10.85,9.32,-3.90,14.45,69.30,96.16,2.57,0.14,14.57,0.35,10.59
SKYY,-1.18,23.98,10.79,14.91,15.16,-0.43,26.72,119.78,105.15,0.00,0.25,26.98,0.60,13.92
SPY,1.43,18.28,12.45,16.76,12.88,-0.15,14.56,99.69,99.96,1.18,0.53,15.43,0.09,32.38
SPYG,-0.31,22.81,12.43,18.19,14.69,0.24,18.25,109.25,101.56,0.57,0.44,18.59,0.04,10.59
STWTX,1.46,3.96,1.32,1.01,2.33,0.49,6.54,92.94,94.88,3.99,-0.36,7.98,0.49,13.67
SUB,0.98,3.02,1.79,1.10,1.22,-0.81,2.15,43.24,26.18,2.94,-1.02,2.41,0.07,13.93
TCAF,1.42,14.67,,,,,,0.00,0.00,0.65,,,0.31,1.96
TIBIX,8.02,23.78,11.49,12.08,7.71,5.23,12.14,108.34,71.82,3.31,0.60,12.05,0.93,22.45
TIQIX,8.46,15.05,9.27,11.77,8.08,4.02,15.62,119.08,104.59,0.00,0.30,16.84,0.90,4.48
TMCPX,-0.96,1.38,7.74,10.14,9.59,-5.89,15.13,90.57,112.22,0.52,0.22,15.96,0.90,13.49
TSHIX,2.53,14.98,6.58,10.17,7.99,-2.01,9.68,89.48,83.36,4.23,0.24,9.85,0.72,11.25
TSWIX,9.62,12.77,7.03,9.74,5.38,1.60,16.51,113.04,113.94,2.07,0.16,17.23,0.86,19.59
UIITX,2.85,6.58,0.73,1.17,2.82,1.64,6.03,99.05,85.66,4.91,-0.51,6.84,0.57,11.50
VLIFX,1.19,2.85,9.50,12.54,12.57,-3.21,15.48,87.97,96.37,0.00,0.33,15.87,1.08,16.18
VTWO,-2.87,6.71,3.39,9.43,7.28,-10.01,21.20,99.24,144.04,1.41,-0.04,20.75,0.07,3.87
VYM,5.06,19.35,10.16,13.71,10.11,-0.54,13.04,76.44,89.79,2.73,0.43,13.75,0.06,9.27
WINN,-0.59,15.79,13.81,,,,,120.66,103.24,0.00,0.44,21.71,0.57,3.33
XLK,-2.95,9.69,14.52,21.70,19.49,6.50,20.74,122.97,104.16,0.66,0.47,21.84,0.08,10.34
XMVM,1.50,12.06,6.96,15.24,9.36,-4.31,20.82,98.66,128.71,1.87,0.13,20.69,0.39,18.01
