Symbol/CUSIP,Total Return - YTD (%),Total Return - 1 Year (%),Annualized Total Return - 3 Year (%),Annualized Total Return - 5 Year (%),Annualized Total Return - 10 Year (%),Alpha (Asset Class) - 5 Year,Standard Deviation - 5 Year,Up Capture Ratio (Morningstar Standard) - 3 Year,Down Capture Ratio (Morningstar Standard) - 3 Year,SEC Yield (%),Sharpe Ratio - 3 Year,Standard Deviation - 3 Year,Net Exp Ratio (%),Longest Manager Tenure (Years)
IWD,22.56,29.33,10.19,10.69,9.16,-4.41,19.27,84.42,105.04,1.93,0.43,14.74,0.19,12.84
IWF,31.97,37.87,10.76,19.27,16.35,2.30,21.97,114.78,100.51,0.48,0.34,20.37,0.19,12.84
IWM,21.41,36.22,4.85,9.78,9.00,-8.02,25.98,98.88,144.28,1.40,0.05,20.96,0.19,12.84
IWN,17.55,32.15,6.10,9.69,8.20,-8.07,26.72,91.07,146.80,2.27,0.11,20.68,0.24,12.84
IWO,25.32,40.33,3.20,9.12,9.34,-8.74,26.93,106.14,141.47,0.50,-0.02,22.36,0.24,12.84
IWP,29.93,39.76,6.21,-1.73,4.22,-4.39,24.11,113.40,112.81,0.41,0.11,21.35,0.23,12.84
IWR,23.88,33.44,7.61,11.87,10.18,-5.25,22.18,97.72,122.72,1.49,0.21,18.04,0.19,12.84
IWS,21.77,31.25,8.53,10.70,8.80,-6.44,22.74,90.69,126.98,1.85,0.27,17.38,0.23,12.84
IYGIX,26.05,30.01,9.72,17.57,15.62,1.11,20.56,108.09,102.99,0.00,0.31,19.13,0.64,8.84
JDJIX,1.13,-2.10,5.57,1.81,,-1.03,10.28,-6.81,-2.37,0.00,0.15,11.15,1.36,5.84
JEPI,17.31,19.66,9.73,,,,9.59,58.30,60.52,11.38,0.55,10.41,0.35,5.03
JHEQX,20.33,21.64,9.25,10.92,8.71,2.83,10.06,59.88,48.80,0.00,0.58,9.25,0.58,11.47
JHMM,23.44,33.53,7.87,12.08,,-4.81,22.09,95.92,126.28,0.00,0.23,17.66,0.42,6.75
JIGFX,7.50,13.50,4.89,8.54,4.92,3.00,20.29,98.94,100.42,0.00,0.06,16.37,0.90,7.42
JMSIX,7.56,10.28,2.14,2.55,3.72,1.69,7.76,75.22,40.40,6.49,-0.34,5.10,0.40,11.00
JPLD,5.96,7.53,3.15,2.48,2.25,0.72,2.56,43.37,1.59,4.54,-0.30,2.24,0.24,29.77
JQUA,25.77,32.11,12.80,15.92,,0.99,17.65,97.59,92.44,1.27,0.60,14.95,0.12,7.56
JVMIX,18.63,26.80,11.15,12.15,10.22,-4.14,22.24,90.77,113.40,0.00,0.44,16.44,0.87,23.93
LDLFX,5.01,6.54,1.83,1.97,2.28,0.40,3.95,44.89,13.41,4.87,-0.76,2.64,0.48,26.43
LSIIX,4.48,8.69,-0.05,2.28,2.63,2.21,7.01,98.28,84.44,4.95,-0.56,6.94,0.49,18.68
LUBFX,5.61,6.37,3.75,2.50,,0.33,1.37,27.38,-18.35,4.52,-0.08,1.12,0.38,8.62
MDIJX,8.91,13.89,2.34,5.90,6.37,0.66,17.65,103.85,102.38,0.00,-0.10,15.86,0.83,3.41
MEDIX,8.29,13.63,1.08,1.83,3.06,2.30,11.82,115.79,75.03,5.91,-0.25,11.11,0.81,16.93
MFEIX,32.51,37.02,8.09,15.71,15.07,-0.37,21.06,112.46,106.30,0.00,0.21,20.03,0.58,23.18
MGLIX,5.08,14.91,-2.92,2.59,5.34,-9.97,21.76,85.93,151.08,0.00,-0.34,19.78,0.94,16.23
MHYIX,7.43,10.64,3.99,4.46,5.03,3.80,8.81,81.24,34.08,6.83,0.02,6.15,0.71,12.26
MMHIX,6.53,10.18,0.22,2.48,4.25,1.62,9.63,130.26,133.85,4.24,-0.37,9.85,0.63,15.18
MMUIX,21.16,24.80,8.58,8.45,6.96,-1.39,20.33,73.41,97.05,2.51,0.26,18.30,0.75,11.09
MQGIX,11.36,16.92,4.13,7.29,7.75,2.08,17.87,112.76,108.34,0.00,0.02,16.64,0.84,13.42
MQLIX,5.10,6.62,2.28,2.26,2.03,0.70,3.10,47.51,11.49,4.47,-0.60,2.62,0.43,8.33
MTALX,3.76,6.53,-0.17,1.16,2.33,-0.07,7.27,99.42,103.34,3.88,-0.54,7.37,0.57,26.43
MTBIX,3.00,5.78,-0.40,1.48,2.82,0.21,6.90,99.47,101.65,3.76,-0.59,7.19,0.49,15.93
MTLIX,3.55,4.98,0.87,1.41,1.90,-0.40,4.00,61.42,42.21,3.58,-0.79,3.75,0.44,25.39
NEAR,4.81,6.17,4.12,2.85,2.28,0.88,2.77,37.29,-10.74,4.59,0.20,1.59,0.25,4.63
NXTG,12.64,19.56,4.88,12.20,9.91,0.88,19.03,91.85,95.82,2.15,0.05,17.35,0.70,14.29
PCOXX,4.90,5.38,3.90,2.47,1.79,0.03,0.68,95.85,0.00,0.00,0.09,0.56,0.20,32.24
PEIYX,27.53,33.91,14.63,14.81,11.78,0.33,18.27,85.88,87.22,1.52,0.80,13.47,0.63,12.76
PFPNX,10.88,15.30,1.02,2.83,,2.54,12.27,77.41,40.84,5.50,-0.26,10.73,1.23,10.14
PFTPX,7.25,9.33,3.62,3.60,3.81,2.37,5.43,65.95,16.46,5.14,-0.05,4.35,0.91,9.02
PGX,10.53,13.37,-0.70,1.47,3.70,2.54,15.28,123.92,136.51,6.34,-0.32,14.53,0.51,17.34
PMFYX,10.38,13.14,7.60,7.96,6.35,-0.87,12.27,73.72,49.67,7.20,0.41,9.07,0.66,13.45
PMOYX,9.71,10.95,7.89,3.09,,-0.87,8.25,33.26,-41.19,5.74,1.47,2.74,0.61,10.16
PONPX,6.17,9.49,2.58,3.24,4.13,2.72,6.94,93.75,54.12,5.15,-0.21,6.18,0.93,18.18
PRDGX,20.03,24.38,9.25,12.53,12.02,-1.44,16.75,80.61,86.59,1.03,0.40,13.57,0.64,25.18
PRFRX,8.29,10.06,6.76,5.37,4.53,3.60,7.69,47.93,-28.46,7.02,0.74,3.91,0.77,13.85
PRPFX,24.79,28.48,10.50,12.28,8.06,4.43,12.33,97.62,58.36,0.00,0.66,10.15,0.81,22.10
PRWCX,15.10,19.88,7.45,11.43,10.77,-0.22,13.86,101.10,83.27,1.90,0.32,11.33,0.71,18.93
PSYGX,35.39,46.88,7.03,15.29,13.65,-1.33,25.04,108.45,121.32,0.00,0.16,20.12,0.96,8.17
QAI,8.22,10.84,3.21,3.16,2.20,-2.31,7.26,38.92,37.04,3.23,-0.11,6.18,0.91,14.26
QCLN,-15.20,-2.00,-22.31,9.72,7.93,-8.81,44.81,66.98,217.36,0.22,-0.72,36.51,0.59,18.32
QQQM,25.15,32.09,9.83,,,,,119.12,106.56,0.60,0.27,21.85,0.15,4.63
RRRRX,15.78,24.86,1.31,4.84,6.81,-7.60,23.20,85.87,134.02,0.00,-0.12,20.67,0.63,20.68
RSP,20.32,28.54,8.67,12.62,10.88,-3.84,20.81,89.90,115.70,1.68,0.30,16.32,0.20,7.15
RWO,9.05,19.52,-0.86,1.29,3.23,-11.92,23.50,85.85,137.35,3.42,-0.24,19.88,0.50,10.34
SCHD,19.48,26.98,9.08,13.08,11.69,-0.68,18.05,67.29,97.53,3.96,0.37,14.11,0.06,13.62
SCIEX,9.13,14.22,2.54,8.54,6.85,3.06,19.79,106.93,101.20,0.00,-0.07,17.71,0.79,15.26
SCZ,4.51,12.11,-1.08,3.62,5.64,-2.13,21.94,111.61,126.79,2.45,-0.27,18.07,0.40,12.50
SDY,17.27,23.38,8.88,9.27,9.79,-4.59,18.55,69.30,96.16,2.57,0.35,14.31,0.35,10.59
SKYY,39.20,48.99,4.32,15.16,16.14,1.82,28.92,119.78,105.15,0.00,0.02,27.98,0.60,13.92
SPY,27.92,33.71,11.33,15.68,13.25,-0.05,18.80,99.69,99.96,1.18,0.47,16.07,0.09,32.38
SPYG,34.84,39.84,8.23,17.52,14.99,0.89,21.47,109.25,101.56,0.57,0.22,19.78,0.04,10.59
STWTX,3.53,6.37,0.56,1.52,2.52,0.24,6.76,92.94,94.88,3.99,-0.41,8.10,0.49,13.67
SUB,2.24,3.06,1.04,1.16,1.15,-0.91,3.07,43.24,26.18,2.94,-1.10,2.60,0.07,13.93
TCAF,24.41,29.53,,,,,,0.00,0.00,0.65,,,0.31,1.96
TIBIX,13.23,17.95,8.91,8.65,6.92,3.66,17.42,108.34,71.82,3.31,0.41,12.35,0.93,22.45
TIQIX,12.04,19.45,6.20,8.83,7.99,3.34,19.32,119.08,104.59,0.00,0.14,17.26,0.90,4.48
TMCPX,16.96,26.41,9.87,10.61,10.94,-4.22,19.29,90.57,112.22,0.52,0.38,16.00,0.90,13.49
TSHIX,15.95,21.02,6.25,9.12,8.03,-2.27,13.68,89.48,83.36,4.23,0.24,10.01,0.72,11.25
TSWIX,6.25,16.22,4.94,6.50,4.95,0.77,20.75,113.04,113.94,2.07,0.06,17.53,0.86,19.59
UIITX,4.55,8.35,-0.73,1.67,2.76,1.63,6.88,99.05,85.66,4.91,-0.65,7.04,0.57,11.50
VLIFX,15.54,23.13,10.91,12.99,13.52,-1.49,19.21,87.97,96.37,0.00,0.44,16.07,1.08,16.18
VTWO,21.62,36.46,5.01,9.95,9.10,-7.83,25.95,99.24,144.04,1.41,0.06,20.95,0.07,3.87
VYM,23.18,30.04,11.73,11.43,10.16,-2.11,17.53,76.44,89.79,2.73,0.58,13.72,0.06,9.27
WINN,31.06,36.90,,,,,,120.66,103.24,0.00,,22.69,0.57,3.33
XLK,22.05,27.14,12.45,22.68,20.12,9.15,23.54,122.97,104.16,0.66,0.38,22.77,0.08,10.34
XMVM,23.36,34.47,11.90,14.21,10.60,-3.82,25.81,98.66,128.71,1.87,0.40,20.19,0.39,18.01
